spec,base,base_se,base_p,cred,cred_se,cred_p,n
(1)  Baseline,0.1790759274270972,0.04722002320575619,0.00014921473868145796,-0.2102252644272606,0.0975527621206773,0.031162586610559595,18650
"(2)  Driscoll-Kraay, L=24",0.1790759274270972,0.05822885590731071,0.002102336791937276,-0.2102252644272606,0.09867758185224768,0.03313647718839219,18650
(3)  Cluster by country,0.1790759274270972,0.043574714675290546,3.9629464279045123e-05,-0.2102252644272606,0.13027455902578475,0.10659050081196964,18650
"(4)  Two-way cluster (country, month)",0.1790759274270972,0.04904115071793054,0.00026066826619031147,-0.2102252644272606,0.1337172413242088,0.1159128142947281,18650
(5)  Country FE only (no cal-month FE),0.15078299736289946,0.05523371688200672,0.006335189187743451,-0.13449039428685497,0.09018616013486969,0.13589504732492408,18650
(6)  6 lags,0.15565176661245594,0.0478160589998911,0.0011330476763293795,-0.16542396180155022,0.11138488746597114,0.13750243826199515,22954
(7)  3 lags,0.14613859343736,0.04285947490941907,0.000650308035387237,-0.12271449224051866,0.11196758963667915,0.27308653677977857,26589
(8)  Excl. 2007m1-2009m12,0.05564453339437407,0.07398384795574084,0.45198050949712876,-0.19358819947226558,0.11054030097053834,0.07989585133719856,15987
(9)  Excl. 2020m1-2022m12,0.24891424633064424,0.05284015880693174,2.4686487596348172e-06,-0.006453776447574898,0.13209043759431863,0.9610318455369686,15930
(10) Excl. both crisis windows,0.11880361801377366,0.08528975950720631,0.1636375792152236,0.07401446995165017,0.1497211986452565,0.6210599840545064,13267
(11) 2003-2013 only,0.23752471939811975,0.0694925204102594,0.0006308549289986143,-0.34556535361375834,0.15754713925905534,0.028277905992870833,8050
(12) 2014-2025 only,0.09187999572473439,0.0485867682038442,0.05861770382017584,-0.44748259776302723,0.14494208529123123,0.0020197005296878068,10042
"(13) Excl. GDP p.c. above USD 20,000",0.215250762001553,0.05193652319482098,3.405604880302171e-05,-0.16508857000146265,0.10138698638993342,0.10346099671227105,14819
(14) Excl. OECD-Europe,0.19502131611722687,0.04908341384400055,7.089467151866202e-05,-0.2251319117764434,0.09560538742104097,0.018532497167293105,14293
(15) Smallest growing-area tercile out,0.1559142306680983,0.06122065500201818,0.010872861289918712,-0.10023697750061046,0.11774479473906024,0.3945987925190171,15359
