predictor,coef,se,p,n,r2
Food inflation (t-1),0.005784463358965743,0.006055625070359103,0.3394656873820159,31659,3.9560460754706206e-05
Food inflation (t-2),-0.009168565812575859,0.005494836693059357,0.09520096272543022,31579,9.93672767950482e-05
Headline inflation (t-1),0.003044282246650404,0.0066728788034542234,0.6482337805708096,32073,1.0796166346804803e-05
Trend headline inflation (12m),-0.004786721868419728,0.007482264782341146,0.5223400992482976,31443,2.0853959420530366e-05
Private credit / GDP,0.005219336333500704,0.018881037958435966,0.7822157425479457,28869,5.456567560790937e-06
log GDP per capita,0.0002909316543422023,0.04305464399233988,0.9946085233274962,31965,3.14736059436882e-09
Agriculture VA / GDP,0.008818957071693136,0.029524152606379167,0.7651665614617917,31361,7.497240826714879e-06
GDP growth (t-1),0.008876213187740681,0.004069597352478212,0.02917575915149051,31877,0.00011538860313298205
Reserves (months of imports),-0.003017612447515634,0.010422648810792266,0.772180014801574,28676,2.8756907834992518e-06
Food / merch. imports (%),0.015363590633376382,0.01571763824987213,0.3283342946601764,29468,7.63136376077389e-05
