"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ma S.; Wang L.-J.; Jiang J.; Chu L.; Zhang J.-C.","Ma, Shuai (57219613920); Wang, Liang-Jie (55575770000); Jiang, Jiang (56582992900); Chu, Lei (57192189059); Zhang, Jin-Chi (7601352365)","57219613920; 55575770000; 56582992900; 57192189059; 7601352365","Threshold effect of ecosystem services in response to climate change and vegetation coverage change in the Qinghai-Tibet Plateau ecological shelter","2021","Journal of Cleaner Production","318","","128592","","","212","10.1016/j.jclepro.2021.128592","https://www.scopus.com/pages/publications/85112133426?origin=resultslist","Understanding the impacts of climate change and vegetation restoration on ecosystem services is essential for sustainable ecosystem management. However, the characteristics of nonlinear impacts of climate change and vegetation change on ecosystem services are still unclear, especially the determination of their impact thresholds. The Qinghai-Tibet Plateau ecological shelter (QPES) was chosen as the study area. The changes in precipitation, temperature, fractional vegetation cover (FVC) and ecosystem services (water yield, net primary productivity (NPP) and soil conservation) were analyzed, the impacts of climate and vegetation cover changes on ecosystem services were evaluated, and the thresholds were quantitatively identified. The results showed that annual mean precipitation increased from 2000 to 2014 and dropped sharply in 2015, with temperatures rising significantly (p < 0.05) and vegetation recovering significantly (p < 0.01) from 2000 to 2015. NPP showed a fluctuating and rising trend from 2000 to 2015. Water yield and soil conservation were greatly affected by precipitation. NPP and soil conservation increased as vegetation improved. The impact threshold of precipitation on ecosystem services was 533 mm. When the annual mean temperature higher than −3.44 °C, the positive impact on ecosystem services was weakened; when it higher than 1.98 °C, the impact on ecosystem services was negative. The FVC thresholds in the study region and in the alpine steppe zone, alpine forest zone, alpine meadow zone, subtropical coniferous forest zone, alpine desert zone and temperate desert zone were 0.61, 0.37, 0.67, 0.53, 0.65, 0.20 and 0.24, respectively. This study provides an important reference for large-scale ecological management and moderate restoration. © 2021 Elsevier Ltd","Climate change; Ecological restoration; Ecosystem services; Qinghai-Tibet Plateau; Threshold effect; Vegetation coverage","Climate change; Ecosystems; Forestry; Soil conservation; Soils; Vegetation; Desert zones; Ecological restoration; Ecosystem services; Forest zones; Fractional vegetation cover; Net primary productivity; Qinghai Tibet plateau; Threshold effect; Vegetation coverage; Water yield; Restoration","Article","Final","","Scopus","2-s2.0-85112133426"
"Zhou L.; Chen X.; Tian X.","Zhou, Li (56015591800); Chen, Xiaohong (57200597684); Tian, Xi (57211678551)","56015591800; 57200597684; 57211678551","The impact of fine particulate matter (PM2.5) on China's agricultural production from 2001 to 2010","2018","Journal of Cleaner Production","178","","","133","141","105","10.1016/j.jclepro.2017.12.204","https://www.scopus.com/pages/publications/85041812663?origin=resultslist","This study provides the first empirical analysis of the direct impact of PM2.5, one of the primary pollutants of haze, on China's agricultural output. An econometric model is estimated using panel data on three of the most commonly grown crops (wheat, rice, and corn) from 303 perfectural level administrative divisions in 25 provinces and autonomous regions in China from 2001 to 2010. The interaction effect between PM2.5 and climatic factors, the nonlinear effect of PM2.5 and climatic factors, and the possible endogeneity between PM2.5 and agricultural production are taken into account. PM2.5 concentrations have significant adverse effects on average yields of wheat and corn, suggesting that the reduction of PM2.5 can contribute to the yields of these two crops. Similar to climatic factors, such as temperature, precipitation, and the sunshine, PM2.5 has a quadratic effect on the average yields of wheat and corn. In the future, it remains a continuing challenge to develop effective long-term strategies in the face of air pollution represented by PM2.5 and the hazards of PM2.5 to agricultural production and food security. © 2017 Elsevier Ltd","Air pollution; Crop yield loss; Food security; Nonlinearity; PM<sub>2.5</sub>","Agriculture; Air pollution; Crops; Food supply; Pollution; Agricultural output; Agricultural productions; Crop yield; Fine particulate matter (PM2.5); Food security; Nonlinearity; PM2.5; PM2.5 concentration; Particles (particulate matter)","Article","Final","","Scopus","2-s2.0-85041812663"
"Berihun D.; Van Steven P.","Berihun, Daregot (57203525458); Van Steven, Passel (57225898975)","57203525458; 57225898975","Climate variability and macroeconomic output in Ethiopia: the analysis of nexus and impact via asymmetric autoregressive distributive lag cointegration method","2022","Environment, Development and Sustainability","24","3","","4064","4087","6","10.1007/s10668-021-01604-9","https://www.scopus.com/pages/publications/85109743150?origin=resultslist","Ethiopia showed a rapid, yet, a none resilient economic growth much threatened by climate variability. In Ethiopia, the adverse effects of climate variability are stipulated among the significant factors constraining its economic development. There are relatively few studies about the adverse effects of climate variability on the Ethiopian macroeconomy. In this context, little is known about the exact effects of the ongoing climate variability on Ethiopian macroeconomic growth. This study intends to examine whether climate variability factors, for instance rainfall and temperature, have an effect on the macroeconomic output of Ethiopia. An asymmetric autoregressive distributive lag cointegration method is used to investigate time-series data for the years 1950–2014. Diagnostic tests show the relevance of the applied method and robustness of our results. The study finds climate variability affects Ethiopia’s economic growth in the long run. Rainfall and temperature fluctuation induce significant negative impacts. A percentage annual temperature variability for instance decreases the Ethiopian annual gross domestic yield (GDP) up to 4.5 percent. In the short run, climate variability particularly rainfall and temperature changes also have a profound effect on Ethiopia’s economic output. Within such confirmed climate change impacts, Ethiopia should carry out more on adapting and mitigating the impacts as it is presented on its climate-resilient economic growth policies and strategies. In spite of the policy contribution of the results, the study will motivate further research and will also serve as a benchmark for the coming Ethiopian studies. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.","Economic output; Ethiopia; NARDL; Rainfall; Temperature","Ethiopia; climate change; cointegration analysis; economic development; economic growth; macroeconomics; spatiotemporal analysis; strategic approach","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85109743150"
"Kabeel A.E.; Sathyamurthy R.; Sharshir S.W.; Muthumanokar A.; Panchal H.; Prakash N.; Prasad C.; Nandakumar S.; El Kady M.S.","Kabeel, A.E. (6506626745); Sathyamurthy, Ravishankar (56074277700); Sharshir, Swellam W. (56072460500); Muthumanokar, A. (57195405074); Panchal, Hitesh (55573559000); Prakash, N. (57196769120); Prasad, C. (57191869096); Nandakumar, S. (57197843186); El Kady, M.S. (57205338083)","6506626745; 56074277700; 56072460500; 57195405074; 55573559000; 57196769120; 57191869096; 57197843186; 57205338083","                         Effect of water depth on a novel absorber plate of pyramid solar still coated with TiO                         2                          nano black paint                     ","2019","Journal of Cleaner Production","213","","","185","191","307","10.1016/j.jclepro.2018.12.185","https://www.scopus.com/pages/publications/85059609372?origin=resultslist","                             In this study, the absorber plate of a new pyramidal basin type solar still is coated with TiO                             2                              nanoparticles doped in black paint on the basin to analyze the performance under the various depth of water. Water depth is varied from 1 cm till 3.5 cm on a basin area of 0.25 m                             2                              which is almost equal to the area of the glass cover. Instead of using other sensible storing materials inside the basin which probably increase the weight, a novel solar still with the absorber plate coated with TiO                             2                              nanoparticle mixed with black paint to improve the performance. Experimental results revealed that the use of TiO                             2                              nanoparticle in black paint improved the water temperature by 1.5 °C than that of absorber without nanoparticle. Similarly, the yield improved during the sunshine hours rather than the off shine hours. With increased depth of water in the basin, the water temperature is minimum which simultaneously resulted in the lower yield on absorber without coating whereas the yield from the still improved by 12% at maximum water depth using coated absorber plate. The accumulated yield from the solar still absorber plate with and without coating was found to be 6.6 and 6.2 kg/m                             2                              respectively at 1 cm water depth. TiO                             2                              nano black paint coated pyramid solar still improves the distilled yield by 6.1% as compared to the conventional basin type pyramid solar still. Similarly, the values of instantaneous efficiency based on operational and climatic parameters using linear and non-linear were determined. From the cost breakdown analysis, it is found that the present system is feasible as compared to the conventional pyramid solar still without coating.                          © 2018 Elsevier Ltd","Absorption rate; Distilled water; Nano-paint; Pyramid solar still","Coated materials; Distillation; Nanoparticles; Paint; Solar heating; Temperature; Titanium dioxide; Water absorption; Absorption rates; Breakdown analysis; Climatic parameters; Distilled water; Instantaneous efficiencies; Solar stills; TiO2 nano-particles; Water temperatures; Solar absorbers","Article","Final","","Scopus","2-s2.0-85059609372"
"Santeramo F.G.; Maccarone I.","Santeramo, Fabio Gaetano (37067967300); Maccarone, Irene (58516820300)","37067967300; 58516820300","Historical crop yields and climate variability: analysis of Italian cereal data; [Analisi storica delle rese agricole e la variabilità del clima: analisi dei dati italiani sui cereali]","2022","Italian Review of Agricultural Economics","77","2","","77","91","2","10.36253/rea-13596","https://www.scopus.com/pages/publications/85166417929?origin=resultslist","Climate change is impacting on the agricultural sector in several ways, and the effects on yields are generally among the most observable ones. Open fields crops, such as cereals, are very vulnerable to climate change. We study the historical data on yields of main cereals, namely barley, maize, oats, rice, rye, wheat, to conclude on the long run impacts of temperature and precipitation, over the period 1920-2015. Yields are found to be inversely correlated with temperatures and positively with precipitation, in both cases the relationships are non-linear, as expected. Copyright: © 2022 Fabio Gaetano Santeramo, Irene Maccarone. This is an open access, peer-reviewed article published by Firenze University Press (http://www.fupress.com/rea) and distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","cereals; climate change; detrendisation","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166417929"
"Mila F.A.; Roy S.S.; Moon M.P.; Sarker J.R.","Mila, Farhana Arefeen (57222535980); Roy, Siddhartha Shankar (59230613300); Moon, Monira Parvin (58677223200); Sarker, Jaba Rani (57193698840)","57222535980; 59230613300; 58677223200; 57193698840","Impact of climate change on summer crop production in Australia: insights from the empirical nonlinear autoregressive distributed lag approach","2025","Asia-Pacific Journal of Regional Science","9","4","","1081","1114","0","10.1007/s41685-025-00401-w","https://www.scopus.com/pages/publications/105021987099?origin=resultslist","Climate change poses a significant threat to the sustainability of summer crop production in New South Wales (NSW), Australia, a region where agriculture is vital to the economy and rural livelihoods yet increasingly vulnerable to climatic variability. This study employed a Nonlinear Autoregressive Distributed Lag (NARDL) model to investigate the asymmetric short- and long-run effects of maximum and minimum temperatures, rainfall, carbon dioxide (CO₂) emissions, and relative humidity on aggregate summer crop production from 1989 to 2023. The results revealed statistically significant asymmetric relationships: positive rainfall shocks exerted a favorable influence on yields in both the short and long term, whereas rising maximum temperatures were associated with substantial yield reductions. Minimum temperature increases and moderate CO₂ concentrations demonstrated positive effects, while elevated humidity at high temperatures contributed to productivity losses. These findings highlight the complex and differentiated pathways through which climatic factors affect crop performance and underscore the necessity of targeted, crop-sensitive adaptation strategies. Such measures are essential to enhance the resilience and long-term sustainability of the agricultural sector in NSW under evolving climatic conditions. © The Japan Section of the Regional Science Association International 2025.","Climate variables; Granger causality; NARDL model; NSW; Summer crop production","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021987099"
"Pishbahar E.; Abedi S.; Dashti G.; KianiRad A.","Pishbahar, Esmaeil (33068268200); Abedi, Sahar (58191163900); Dashti, Ghader (56600508100); KianiRad, Ali (57218921297)","33068268200; 58191163900; 56600508100; 57218921297","Agricultural Risk Management Through Weather-Based Insurance in Iran","2019","Perspectives on Development in the Middle East and North Africa (MENA) Region","","","","11","28","6","10.1007/978-981-13-6283-5_2","https://www.scopus.com/pages/publications/85087788068?origin=resultslist","Agricultural production is inherently a risky business. Farmers face a variety of risks and natural disasters such as weather risks, pests, and plant diseases. Risks are inevitable but are also controllable. One effective risk management tool is agricultural insurance. However, traditional insurance plans have some problems such as high transaction costs and asymmetric information challenges such as moral hazard and adverse selection. Therefore, in this study weather-based crop insurance (WBCI) is presented for rainfed wheat as an efficient approach for risk management as it does not have the problems of traditional insurance. We collected details of weather variables (e.g., temperature and precipitation) and yields of rainfed wheat (‘Sardari variety’) during the period 1987–2013. Of late, the vine copula functions have been very successful in the dependence structure for measuring and expressing joint distribution functions. We measured the dependence structure between weather indices and wheat yields using the vine copula functions; we also calculated the indemnity function and premium amounts. Our results show that the D-vine model is better than the C-vine model for describing joint distribution. Hence, we used this model to compute the premium for rainfed wheat. The premium was calculated in four levels of coverage (50, 80, 90, and 100%). Our results show that its amount at the 80% coverage level was 588,320 Rial. The computing premium in WBCI is less than current insurance premium which is reasonable. © 2019, Springer Nature Singapore Pte Ltd.","Iran; Rainfed wheat; Risk; Vine copula; Weather-based crop insurance","","Book chapter","Final","","Scopus","2-s2.0-85087788068"
"Bajusová Z.; Benďáková V.; Palkovič J.; Janíčeková A.","Bajusová, Zuzana (57356069200); Benďáková, Viktória (58644840200); Palkovič, Jozef (57201116151); Janíčeková, Andrea (60055944600)","57356069200; 58644840200; 57201116151; 60055944600","Climate Change and Agricultural Productivity: A Case Study of Wheat in Visegrad Countries","2026","WSEAS Transactions on Business and Economics","23","","","683","690","0","10.37394/23207.2026.23.53","https://www.scopus.com/pages/publications/105041533881?origin=resultslist","The paper analyses impact of climate change on wheat production in the Visegrad 4 (V4) countries. The main goal of this paper is to analyse the long-term impact of climatic variables, such as temperature and precipitation on wheat production in V4 countries. By providing empirical evidence, the study offers insights that may contribute to the policy discussions that aim at improving the resilience od wheat production to climate change. The analysis is based on the Just and Pope stochastic production function using data from 2003 to 2023. The model parameters were estimated using GRETL software. Due to the characteristics of panel data, only the fixed effects model was suitable for this study. This approach requires a unique interpretation for each cross-sectional unit, particularly for V4 countries. It suggests that the slope coefficients are consistent across all V4 countries, but the functions differ in intercepts. The literature frequently denotes this as the LSDV model. Results indicate that both economic and environmental factors play a significant role in determining wheat yields. The impact of temperature and precipitation is specific to each month and exhibits a markedly nonlinear nature, with climate changes tending to influence wheat yield negatively. © 2026, World Scientific and Engineering Academy and Society. All rights reserved.","climate change; precipitation; price; production function; temperature; wheat; yield","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041533881"
"Walden J.V.M.; Stathopoulos P.","Walden, Jasper V.M. (58318575200); Stathopoulos, Panagiotis (56674078000)","58318575200; 56674078000","The impact of heat pump load flexibility on its process integration and economics","2024","Journal of Cleaner Production","462","","142643","","","23","10.1016/j.jclepro.2024.142643","https://www.scopus.com/pages/publications/85194498946?origin=resultslist","The conventional methodology of heat pump integration has found application in various industries, including cheese production, spray drying, milk evaporation systems, brewing, and meat processing. While several approaches have been developed for optimizing direct and indirect heat recovery in non-continuous industrial processes, the optimal integration of heat pumps in non-continuous processes remains a challenge. This paper introduces a systematic methodology that leverages extensive datasets of time-resolved industrial process data to determine the optimal heat pump integration and the level of heat pump load flexibility that maximizes the economic benefit. Thus, the work establishes a connection between the domain of Process Integration and heat pump load flexibility. Additionally, the study provides insights on the requirements for load flexibility during the design phase of the heat pump, offering an estimation on the need for research on heat pump flexibility. The findings indicate the presence of a load flexibility threshold in the examined case study, beyond which additional load flexibility yields diminishing returns. Furthermore, the study shows that different heat pump integration parameters are chosen based on the heat pump's capability for load flexibility. Within the investigated case, a heat pump with a minimum load of 55% increases the net present value by 19.3% compared to a load inflexible heat pump. © 2024 The Author(s)","Dynamic Pinch Analysis; Heat pump load flexibility; Industrial heat pump integration; Non-continuous industrial processes; Part load heat pump model; Time-resolved industrial process data","Heat pump systems; Integration; Waste heat; Dynamic pinch analyse; Heat pump load flexibility; Heat pumps; Industrial heat pump integration; Industrial processs; Non-continuous industrial process; Part load; Part load heat pump model; Pinch analysis; Process data; Pump loads; Pump models; Time-resolved; Time-resolved industrial process data; Pumps","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85194498946"
"Pandey K.; Basu B.","Pandey, Kamal (57215035389); Basu, Bhaskar (57215057480)","57215035389; 57215057480","Mathematical modeling for short term indoor room temperature forecasting using Box-Jenkins models: An Indian evidence","2020","Journal of Modelling in Management","15","3","","1105","1136","10","10.1108/JM2-08-2019-0182","https://www.scopus.com/pages/publications/85079755952?origin=resultslist","Purpose: The rapid urbanization of Indian cities and the population surge in cities has steered a massive demand for energy, thereby increasing the carbon emissions in the environment. Information and technology advancements, aided by predictive tools, can optimize this energy demand and help reduce harmful carbon emissions. Out of the multiple factors governing the energy consumption and comfort of buildings, indoor room temperature is a critical one, as it envisages the need for regulating the temperature. This paper aims to propose a mathematical model for short-term forecasting of indoor room temperature in the Indian context to optimize energy consumption and reduce carbon emissions in the environment. Design/methodology/approach: A study is conducted to forecast the indoor room temperature of an Indian corporate building structure, based upon various external environmental factors: temperature and rainfall and internal factors like cooling control, occupancy behavior and building characteristics. Expert insight and principal component analysis are applied for appropriate variables selection. The machine learning approach using Box–Jenkins time series models is used for the forecasting of indoor room temperature. Findings: ARIMAX model, with lagged forecasted and explanatory variables, is found to be the best-fit model. A predictive short-term hourly temperature forecasting model is developed based upon ARIMAX model, which yields fairly accurate results for data set pertaining to the building conditions and climatic parameters in the Indian context. Results also investigate the relationships between the forecasted and individual explanatory variables, which are validated using theoretical proofs. Research limitations/implications: The models considered in this research are Box–Jenkins models, which are linear time series models. There are non-linear models, such as artificial neural network models and deep learning models, which can be a part of this study. The study of hybrid models including combined forecasting techniques comprising linear and non-linear methods is another important area for future scope of study. As this study is based on a single corporate entity, the models developed need to be tested further for robustness and reliability. Practical implications: Forecasting of indoor room temperature provides essential practical information about meeting the in-future energy demand, that is, how much energy resources would be needed to maintain the equilibrium between energy consumption and building comfort. In addition, this forecast provides information about the prospective peak usage of air-conditioning controls within the building indoor control management system through a feedback control loop. The resultant model developed can be adopted for smart buildings within Indian context. Social implications: This study has been conducted in India, which has seen a rapid surge in population growth and urbanization. Being a developing country, India needs to channelize its energy needs judiciously by minimizing the energy wastage and reducing carbon emissions. This study proposes certain pre-emptive measures that help in minimizing the consumption of available energy resources as well as reducing carbon emissions that have significant impact on the society and environment at large. Originality/value: A large number of factors affecting the indoor room temperature present a research challenge for model building. The paper statistically identifies the parameters influencing the indoor room temperature forecasting and their relationship with the forecasted model. Considering Indian climatic, geographical and building structure conditions, the paper presents a systematic mathematical model to forecast hourly indoor room temperature for next 120 h with fair degree of accuracy. © 2020, Emerald Publishing Limited.","Auto-regressive moving average Box–Jenkins models; Energy efficiency; Indoor room temperature forecasting; Machine learning; Time series forecasting","","Article","Final","","Scopus","2-s2.0-85079755952"
