"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Istudor N.; Ion R.A.; Petrescu I.E.; Hrebenciuc A.","Istudor, Nicolae (25635608400); Ion, Raluca Andreea (37561175800); Petrescu, Irina Elena (57201592999); Hrebenciuc, Andrei (35268892900)","25635608400; 37561175800; 57201592999; 35268892900","Agriculture and the twofold relationship between food security and climate change. Evidence from Romania","2019","Amfiteatru Economic","21","51","","285","293","19","10.24818/EA/2019/51/285","https://www.scopus.com/pages/publications/85065156082?origin=resultslist","Nowadays, agriculture is facing a special challenge - to produce more food for a growing population, while reducing greenhouse gas emissions caused by food production. This piece of research is focused on the impact of agriculture on climate change, starting from the assumption that agriculture is affected by climate variability, but also it contributes to it by emitting greenhouse gases, under the restriction of less per capita land. The paper analyses the connection between agricultural emissions and agricultural output, using a simple regression model, which includes variables corresponding to agricultural production and to greenhouse gas emissions. The results of the research highlight the fact that agricultural production has direct effects on greenhouse gas emissions and, thereby, on climate change. The relevance of the research consists in rising awareness of the emergency to integrate climate change in policies and actions related to food security at all levels. Moreover, the paper contributes to the enrichment of scientific literature, because it presents empirical evidence supporting the different effects of agricultural practices on the environment in Romania, with implications for climate change, a scientific direction that has been little studied in other papers. © 2019, Editura Cefin.","Agriculture; Climate change; Food security; Greenhouse gas emissions","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065156082"
"Kramberger G.; Glavan M.; Pažek K.","Kramberger, Gregor (58759300200); Glavan, Matjaž (36158195100); Pažek, Karmen (8442601300)","58759300200; 36158195100; 8442601300","BUILDING RESILIENT AGRICULTURAL SYSTEMS: A MULTISTAKEHOLDER APPROACH FOR SUSTAINABLE TRANSFORMATION","2023","Proceedings of the 17th International Symposium on Operational Research in Slovenia, SOR 2023","","","","23","26","0","","https://www.scopus.com/pages/publications/85179507921?origin=resultslist","The global population growth requires increased food production, but it faces challenges due to climate variability and environmental crises. Innovative approaches are proposed for transforming agricultural systems using regenerative practices and natural capital valuation. The ""multi-stakeholder"" approach enables informed decision-making and sustainable measure implementation. It incorporates diverse perspectives, expertise, and local knowledge, fostering effective research, policy development, and stakeholder engagement in agriculture and environmental planning. Emphasizing multi-stakeholder collaboration is essential for achieving sustainable agriculture and addressing global challenges. © Proceedings of the 17th International Symposium on Operational Research in Slovenia, SOR 2023. All rights reserved.","food production; multi-stakeholder collaboration; natural capital valuation; regenerative practices","Decision making; Population statistics; Sustainable development; Agricultural system; Food production; Global population; Multi-stakeholder; Multi-stakeholder approach; Multi-stakeholder collaboration; Natural capital; Natural capital valuation; Population growth; Regenerative practice; Agriculture","Conference paper","Final","","Scopus","2-s2.0-85179507921"
"Sridevi V.; Kalaivanan D.; Kumar M.S.","Sridevi, V. (59312431600); Kalaivanan, D. (24067123900); Kumar, M. Senthil (59037077400)","59312431600; 24067123900; 59037077400","Organic farming practices for climate change mitigation and adaptation","2024","Advances in Organic Farming: Crop Production and Management","","","","65","80","0","","https://www.scopus.com/pages/publications/85203033926?origin=resultslist","Climate change is defined as the shift in climate patterns largely due to greenhouse gas emissions. The main sources of GHG emissions are natural systems and anthropogenic activities. Greenhouse gasses are released into the atmosphere warming the earth by contributing to the greenhouse effect and consequently climate change. Agriculture plays a double role as a source and sink of GHGs. The greenhouse gasses viz., carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) emitted from agriculture. The negative impacts of climate change are increasing temperature, weather variability, shifting of agroecosystem boundaries, and frequent extreme weather events. Agriculture is extremely vulnerable to climate change employing reducing crop yield and nutritional quality of crops and lowering livestock productivity which ultimately threatens food security. Climate change mitigation strategies reduce or prevent the greenhouse gas emission, whereas climate change adaptation strategies reduce the negative impact of climate change while exploiting beneficial opportunities. Both the mitigation and adaptation approaches are essential for addressing climate change. Organic farming relies on locally available inputs, crop rotations, and a biological system of nutrient, pest, and disease management and excludes synthetic agrochemicals and feed additives. Hence, organic farming is one of the solutions for climate change mitigation and adaptation. Organic agriculture mitigates climate change by means of reduced greenhouse gas emission, enhanced carbon storage by sequestration, and minimized energy consumption. Organic agriculture improves soil, preserves biodiversity, and creates stable agro-ecosystems which enable climate change adaptation. © 2025 Apple Academic Press, Inc. Co-published with CRC Press (Taylor & Francis). All rights reserved.","Adaptation; Agriculture emissions; Agroecosystems; Climate change; Mitigation; Organic agriculture; Organic farming","","Book chapter","Final","","Scopus","2-s2.0-85203033926"
"Rushi Kumar M.; Naveen M.; Sai Pravallika M.; Kumar S.","Rushi Kumar, M. (57209466741); Naveen, M. (59567980700); Sai Pravallika, M. (57505870200); Kumar, Sanjeet (56470035500)","57209466741; 59567980700; 57505870200; 56470035500","Variability and time series trend analysis of rainfall over Krishna District of Andhra Pradesh: A case study","2019","International Journal of Recent Technology and Engineering","7","6C2","","720","726","5","","https://www.scopus.com/pages/publications/85067848967?origin=resultslist","Spatial-temporal variability of meteorological variables in the framework of changing climate is predominant. At the same time, if agriculture in those areas is depending on rainfall, then variables especially rainfall plays a vital role to assess climate-induced changes. Such types of studies will suggest feasible adaptation strategies of those particular areas. Spatial-temporal variability in rainfall has been focus of research over the past decade around the world due rainfed agriculture in developing country. Present study focus on rainfall variability and time series analysis of historical meteorological data of Krishna district, Andhra Pradesh, India using mann-kendall technique. Krishna district have importance in agriculture and it is upcoming urban area in Andhra Pradesh in terms of industrial and population growth. In the present study, the temporal variability is done for the annual time series of grid data over the period of 1977-2007 using Mann-Kendall technique. At the same time wet and dry day analysis was also performed, which shows increase in dry days and decrease in wet day over the area. With the results of this study, we can suggest some adaptation measures to increase the water availability of the region for the agriculture and population growth for the sustainable development of the region in the future with changing climate. © BEIESP.","Climate; Krishna; Parametric; Rainfall; Variability","","Article","Final","","Scopus","2-s2.0-85067848967"
"Ludwig F.","Ludwig, Fulco (56206774600)","56206774600","Using Seasonal Climate Forecasts for Water Management","2012","Climate Change Adaptation in the Water Sector","","","","79","86","1","10.4324/9781849770743-7","https://www.scopus.com/pages/publications/105028071412?origin=resultslist","The previous chapter described how many water management decisions related to climate variability focus on a trade-off between maximizing the output and minimizing the risk of failure. In Chapter 2, the different timescales at which climate varies are discussed. There is seasonal, annual and sometimes decadal variation in rainfall that should be considered. Most water management systems are set up to manage seasonal variation in water availability. Annual and decadal variation in climate and water availability are more difficult to manage due to the lower predictability, understanding and experience with these longer timescales. A better understanding and enhanced predictability of climate variability can potentially improve the trade-off between maximizing output and minimizing failure. This chapter focuses on the use of seasonal climate forecasts as a tool to improve water management and how the analysis of historical climate data can improve the understanding of climate variability and its implications for water management. © Fulco Ludwig, Pavel Kabat, Henk van Schaik and Michael van der Valk, 2009 Published by Taylor & Francis.","","Climate change; Information management; Water management; Weather forecasting; Climate variability; Decadal variations; Management decisions; Risk of failure; Seasonal climate forecast; Time-scales; Trade off; Water availability; Water management systems; Waters managements; Economic and social effects","Book chapter","Final","","Scopus","2-s2.0-105028071412"
"Le K.; Nguyen M.","Le, Kien (57211337161); Nguyen, My (57211505205)","57211337161; 57211505205","In-utero Exposure to Rainfall Variability and Early Childhood Health","2021","World Development","144","","105485","","","41","10.1016/j.worlddev.2021.105485","https://www.scopus.com/pages/publications/85107657293?origin=resultslist","Climate change has drastically altered precipitation patterns across the globe and has caused an increase in rainfall variability, including the incidence of extreme rainfall events such as droughts and floods. Exploiting the exogenous variation in rainfall to which children were exposed during the nine months in utero, we find that rainfall variability adversely affects the anthropometric status of children under five years of age in 55 low and middle-income countries. Moreover, the consequences of fetal exposure to rainfall variability are strongly apparent in the child's first year of life and linger to some extent at later ages. Our heterogeneity analyses further show that children of disadvantaged backgrounds, such as poor and uneducated households, are especially vulnerable to rainfall variability during gestation. © 2021 Elsevier Ltd","Child health; Climate change; Rainfall","child health; climate change; climate effect; pregnancy; rainfall","Article","Final","","Scopus","2-s2.0-85107657293"
"Sunil A.; Ritchie G.; Kelly B.; Berton P.; Pabuayon I.L.B.; Shamshina J.L.","Sunil, Anagha (58204854200); Ritchie, Glen (11439191400); Kelly, Brendan (57193676879); Berton, Paula (26029716200); Pabuayon, Irish Lorraine B. (56015293000); Shamshina, Julia L. (6504566050)","58204854200; 11439191400; 57193676879; 26029716200; 56015293000; 6504566050","Semi-arid cropping and circular value chains for climate-resilient agriculture","2026","npj Sustainable Agriculture","4","1","55","","","0","10.1038/s44264-026-00171-8","https://www.scopus.com/pages/publications/105043320229?origin=resultslist","Semi-arid agriculture faces increasing challenges from water scarcity, climate variability, and economic risk linked to monoculture systems. This review develops a framework linking drought-tolerant crop adaptation to downstream potential for grain sorghum, sesame, sunflower, and guar. Unlike prior reviews that treat agronomy and value chains separately, this work integrates crop composition, processing, and deployment constraints to evaluate circular, value-added systems. A structured narrative synthesis was conducted across agronomy, phytochemistry, extraction, and techno-economic studies, mapping crop-specific molecular profiles to functional properties. Literature was selected based on relevance to (i) drought adaptation and compositional variability, (ii) compound-specific functionality, and (iii) process scalability and value-chain integration. Across all four crops, deployment feasibility appears governed by system-level constraints, including logistics, processing scale, regulations, and market absorption. The framework identifies key knowledge gaps and barriers for scalable, climate-resilient, and economically viable systems in semi-arid regions. © The Author(s) 2026.","","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043320229"
"Madini A.; Seti T.M.","Madini, Aneza (60718294300); Seti, Thembalethu Macdonald (57734277600)","60718294300; 57734277600","Assessing the Impact of Climate Change on Global Value Chain Participation: Evidence from Maize Farmers in the Eastern Cape, South Africa","2026","African Journal of Business and Economic Research","21","2","","259","283","0","10.31920/1750-4562/2026/v21n2a12","https://www.scopus.com/pages/publications/105043485145?origin=resultslist","Climate variability increasingly threatens smallholder agriculture in South Africa; however, limited attention has been given to its impact on integration into global value chains (GVCs). This study examined how climate variability influences smallholder maize farmers' participation in GVCs in the Eastern Cape province of South Africa. A mixed-methods approach was used, combining survey data from 200 farmers with qualitative interviews on perceptions and adaptation strategies. Ordered logistic regression results indicated that education (β = 0.464, p = 0.023), maize color (β = 1.092, p = 0.005), and income (β = 0.220, p = 0.087) significantly and positively affected participation. At the same time, rainfall variability and drought frequency had negative effects (β = -0.621, p = 0.086). These findings suggest that socioeconomic factors boost participation and resilience, whereas climate shocks and production uncertainty decrease competitiveness. Although existing training programmes increased awareness, their effect on market access remained limited. Farmers involved in GVCs showed greater capacity for adaptation compared to non-participants. Overall, climate shocks represent the chief obstacle to smallholder competitiveness, as socioeconomic resources provide only limited insulation against these risks. The study provides new evidence linking climate variability to GVC participation. It offers policy insights for promoting climate-smart agriculture, enhancing adaptive capacity, and encouraging inclusive market participation among smallholder farmers in South Africa. © 2026, Adonis and Abbey Publishers Ltd. All rights reserved.","Climate change; Eastern Cape; Global value chains; Maize farmers","","Article","Final","","Scopus","2-s2.0-105043485145"
"Casolani N.; Cartone A.; Postiglione P.; Liberatore L.","Casolani, Nicola (56287799200); Cartone, Alfredo (57195252902); Postiglione, Paolo (8941652800); Liberatore, Lolita (6602312757)","56287799200; 57195252902; 8941652800; 6602312757","Climate variability in agriculture and crop water requirement: Spatial analysis of Italian provinces","2020","Journal of Cleaner Production","262","","121331","","","22","10.1016/j.jclepro.2020.121331","https://www.scopus.com/pages/publications/85082771972?origin=resultslist","Water saving in crop production under climate and environmental changing conditions represents a critical issue for agricultural economy and sustainability. This study develops a novel approach to measure the impact of climate variability on crop water requirement at regional level. Firstly, a model where crop water requirement is the dependent variable and some climate variables are the covariates is estimated by using geographically weighted regression to consider different spatial characteristics of the regions. Then, local regression results are integrated to develop two composite indicators able to highlight critical areas in terms of water requirement and to support local policies and practices. The empirical analysis concerns the maize crops production of Italian provinces for 2017. The results point out the existence of great differences between North and South of Italy, where the impact of temperature variability tends to be more severe. The evidences also offer insights for regional planning and economic policies. The proposed methodology is very general and allows for a wider reproducibility for other crops and countries. © 2020 Elsevier Ltd","Geographically weighted regression; Spatial effects; Water management; Water sustainability","Agricultural robots; Climatology; Crops; Cultivation; Economics; Planning; Regional planning; Regression analysis; Sustainable development; Water conservation; Water management; Agricultural economy; Composite indicators; Crop water requirements; Geographically weighted regression; Impact of temperatures; Spatial characteristics; Spatial effect; Water sustainability; Climate models","Article","Final","","Scopus","2-s2.0-85082771972"
"Hochscherf J.","Hochscherf, Julian (57199167342)","57199167342","Income heterogeneity and index insurance demand","2017","Zeitschrift fur die gesamte Versicherungswissenschaft","106","3-4","","343","368","3","10.1007/s12297-017-0386-x","https://www.scopus.com/pages/publications/85037647231?origin=resultslist","Weather index insurance as a tool to insure the income of agriculturally active households has triggered extensive discussions in the literature. Despite the convincing theoretical argumentation, the demand for these products stays behind expectations. Several studies revealed effects impacting the demand for index insurance, such as liquidity constraints, basis risk, lack of understanding and trust in insurers and products alike. This paper takes a different perspective and hypothesizes that low demand is due to heterogeneous risk exposure towards weather variability among potential insured. The paper tests the impact of income heterogeneity as a measure of risk exposure on insurance demand and finds that risk exposure negatively affects insurance demand. In order to increase demand, it is concluded that product design should emphasize more the importance of income risk composition and exposure of potentially insured. © 2017, Springer-Verlag GmbH Deutschland.","","","Article","Final","","Scopus","2-s2.0-85037647231"
