"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Wang X.; Liu Y.; Zhang Q.; Xin Y.; Shen L.; Xiao Y.; Song Y.; Zhang J.; Wang C.","Wang, Xinran (59228242700); Liu, Yanqi (58988613100); Zhang, Qianqian (57992560100); Xin, Yu (57881473000); Shen, Lifeng (58988326800); Xiao, Yu (58988896100); Song, Yuchen (58988326700); Zhang, Jiannan (57201690984); Wang, Changsong (57193357823)","59228242700; 58988613100; 57992560100; 57881473000; 58988326800; 58988896100; 58988326700; 57201690984; 57193357823","Triglyceride–glucose frailty index, metabolic-frailty phenotypes, and mortality in critically ill patients with acute kidney injury: Derivation, interpretation, and external validation","2026","Experimental Gerontology","224","","113291","","","0","10.1016/j.exger.2026.113291","https://www.scopus.com/pages/publications/105048273448?origin=resultslist","Background: Prognosis remains heterogeneous among critically ill patients with acute kidney injury (AKI). We evaluated the triglyceride–glucose frailty index (TyG-FI), a composite of metabolic burden and laboratory-based frailty, for mortality risk characterization, phenotype identification, prediction, and external validation. Methods: We included 2230 adults with KDIGO-defined AKI from MIMIC-IV. Associations between TyG-FI and ICU, in-hospital, 28-day, 90-day, and 365-day mortality were assessed using multivariable logistic and Cox regression, restricted cubic splines, subgroup analyses, and sensitivity analyses. Consensus clustering identified metabolic-frailty phenotypes. Twelve prediction algorithms were evaluated using a 7:3 development–test split, with SHAP and LIME for interpretation. Double machine learning was used as an exploratory robustness analysis. External model validation was performed in 1831 eICU patients, and phenotype reproducibility was assessed using independent clustering and transport of locked MIMIC-IV centroids. Results: Higher TyG-FI was independently associated with ICU mortality (OR, 1.524; 95% CI, 1.377–1.686) and 28-day mortality (HR, 1.234; 95% CI, 1.146–1.330), with consistent associations for in-hospital, 90-day, and 365-day mortality. The primary K = 2 solution identified lower-burden and high frailty–organ dysfunction phenotypes, with 28-day mortality rates of 14.4% and 31.5%. In the held-out test set, logistic regression and CatBoost achieved AUROCs of 0.764 and 0.769, respectively. In eICU, the corresponding AUROCs were 0.694 and 0.667. Independently derived eICU phenotypes had 28-day mortality rates of 11.0% and 25.5%, while transported phenotypes had rates of 10.7% and 26.2%, with 95.4% agreement. Double-machine-learning estimates remained positive across sensitivity analyses. Conclusions: TyG-FI was consistently associated with mortality and delineated a reproducible lower-burden versus high frailty–organ dysfunction phenotype structure. It may support multidimensional risk characterization in ICU-AKI, although its incremental predictive advantage over FI-Lab alone or additive formulations was limited. © 2026 The Authors. Published by Elsevier Inc. This is an open access article under the CC BY-NC-ND license. http://creativecommons.org/licenses/by-nc-nd/4.0/","Acute kidney injury; eICU; External validation; Machine learning; Metabolic-frailty phenotypes; MIMIC-IV; Mortality; TyG-FI","glucose; triacylglycerol; acute kidney failure; adult; aged; all cause mortality; area under the curve; Article; cluster analysis; cohort analysis; critically ill patient; data analysis; derivatization; diagnostic test accuracy study; disease burden; external validity; female; frailty; functional status assessment; hospitalization; human; intensive care unit; laboratory test; length of stay; logistic regression analysis; machine learning; major clinical study; male; middle aged; mortality rate; mortality risk; multivariate logistic regression analysis; prediction; probability; prognosis; proportional hazards model; receiver operating characteristic; reproducibility; retrospective study; risk assessment; sensitivity analysis; sensitivity and specificity; survival; triglyceride glucose frailty index; very elderly","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105048273448"
"Gandhi M.; Chaudhari A.Y.; Mulla R.","Gandhi, Mrugank (60369534700); Chaudhari, Archana Y. (57210323135); Mulla, Rahesha (57980649000)","60369534700; 57210323135; 57980649000","Causal analysis of speed effects on energy consumption and driving range in electric cargo vehicles","2026","Energy Informatics","9","1","62","","","0","10.1186/s42162-026-00667-0","https://www.scopus.com/pages/publications/105043737405?origin=resultslist","Accurate estimation of energy consumption for EVs and the remaining driving range is crucial for effective energy management. Most existing studies on EV energy consumption estimation are based on correlation-based prediction. However, they do not offer much insight into the causal effects of the driving factors. This study presents a causal machine learning framework that considers the vehicle speed as an intervention to estimate the effect on the energy consumption and the remaining driving range of the EV. Telemetry data obtained from a Musoshi Pop-Up Mini electric cargo vehicle at different speed regimes, payload, and environmental conditions are used to evaluate the proposed framework. This involves the construction of a domain-informed directed acyclic graph for confounding identification and the implementation of Orthogonal Double Machine Learning via the integration of DoWhy and EconML LinearDML estimator for Average Treatment Effects (ATE) and Conditional Average Treatment Effects (CATE). Multiple specifications of the nuisance model and robustness checks, such as placebo refutation, subset stability, overlap checks, and regularization sensitivity, are carried out to ensure the validity of the obtained causal effects. The findings reveal a statistically stable causal relationship between vehicle speed and segment-level energy consumption, with significant heterogeneity observed depending on the operating conditions, where the effect of road slope was found to be the main moderator. The energy effects are further propagated to the remaining driving range to obtain the operational interpretation. Overall, the proposed framework reveals that causal intervention-aware modeling can produce reliable and interpretable insights for range-aware control and smart energy management in electric vehicles. © The Author(s) 2026.","Causal inference; Double machine learning; Electric vehicles; Energy consumption modelling; Remaining driving range","Electric machine control; Electric machine theory; Energy management; Energy utilization; Graph theory; Learning systems; Machine learning; Average treatment effects; Cargo vehicles; Causal inferences; Double machine learning; Driving range; Energy consumption model; Energy-consumption; Machine-learning; Remaining driving range; Vehicle speed; Electric vehicles","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043737405"
"Zhou P.; Gao Y.; Zhao P.; An K.; Ma C.; Xiong Y.; Wu D.; Chen Y.; Wu S.","Zhou, Pengzhi (59680038600); Gao, Yuan (60865587200); Zhao, Peng (60865709900); An, Kang (60865627600); Ma, Chengye (59422990400); Xiong, Ying (57199399996); Wu, Dizi (57194182523); Chen, Ying (57207353147); Wu, Shihai (57222714278)","59680038600; 60865587200; 60865709900; 60865627600; 59422990400; 57199399996; 57194182523; 57207353147; 57222714278","From Association to Causal Screening: Adjusted Effects of High-Flow and High-Wind Conditions on Pedestrian Emotional Responses in Urban Walking Environment","2026","Buildings","16","17","3394","","","0","10.3390/buildings16173394","https://www.scopus.com/pages/publications/105050223179?origin=resultslist","Urban walking spaces are shaped by both relatively stable visual–spatial features and dynamic contextual exposures, yet the independent emotional effects of these exposures remain unclear. This study develops a causal screening framework to examine the adjusted effects of high pedestrian flow and high background wind speed on pedestrian emotion. Using 9552 participant-location observations collected along a 1.0 km walking route in Changsha, China, pedestrian emotion was expressed as a baseline-referenced emotional response (BRER). Propensity-score trimming established treatment-specific overlap before applying partially linear regression, double machine learning, and causal forest estimation. High flow showed a stable negative adjusted effect with broader empirical support and some heterogeneity, whereas high wind also showed a negative estimate but was treated as exploratory because of limited independent exposure support. Overall, dynamic social and meteorological exposures may retain adjusted effects on pedestrian emotion beyond the observed visual–spatial environment, with stronger evidence for pedestrian flow. Urban walking-space design should therefore strengthen its capacity to buffer transient social and meteorological pressures. © 2026 by the authors.","causal machine learning; dynamic contextual exposures; pedestrian emotion; urban built environment","Behavioral research; Learning systems; Machine learning; Urban planning; Walking aids; Built environment; Causal machine learning; Dynamic contextual exposure; Emotional response; High flow; High winds; Machine-learning; Pedestrian emotion; Urban build environment; Visual-spatial; Wind","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105050223179"
"Peng Z.; Yu B.; Bao S.; Lu W.; Chen Y.; Wang J.","Peng, Zishan (59519368800); Yu, Bo (56814092400); Bao, Shan (57687719900); Lu, Wenjie (56308706000); Chen, Yuren (57211013694); Wang, Junhua (55742773300)","59519368800; 56814092400; 57687719900; 56308706000; 57211013694; 55742773300","The state-dependent causal effect of a V2X-based beyond-line-of-sight warning system on young driver response: a causal machine learning approach","2026","Accident Analysis and Prevention","235","","108642","","","0","10.1016/j.aap.2026.108642","https://www.scopus.com/pages/publications/105043067413?origin=resultslist","Due to the perceptual challenges created by obstructed sight lines, drivers in beyond-line-of-sight (BLOS) scenarios often fail to detect hazards until insufficient stopping distance remains, making these situations particularly hazardous for young drivers with limited hazard anticipation capabilities. While vehicle-to-everything (V2X)-based warning systems offer a promising countermeasure, precisely quantifying the system effectiveness remains a challenge, as previous studies often rely on associational methods with limited ability to isolate causal effects or characterize treatment effect heterogeneity. This study aimed to apply a causal machine learning framework to estimate the effect of a V2X-based BLOS warning system on young driver response and explore potential sources of treatment effect heterogeneity in a data-driven manner. Based on data from a randomized within-subject driving simulator experiment for causal identification, double/debiased machine learning (DML) was used to estimate the average treatment effect, with the estimates further examined through robustness analyses. The analysis revealed that the BLOS warning had a positive and statistically significant effect on overall response quality. Among trials with identifiable response initiation, the warning was also associated with shorter reaction times. To explore treatment effect heterogeneity, a causal forest implemented within the DML framework was applied to estimate the conditional average treatment effects. An exploratory analysis utilizing Shapley additive explanations (SHAP) suggested that the estimated treatment effects were highly state-dependent. The heterogeneity patterns were more strongly associated with drivers’ instantaneous vehicle control states than with other variables, such as static driver characteristics. A subgroup analysis further revealed that the warning benefits were statistically reliable primarily for observations characterized by stable longitudinal control and more active steering correction behavior. These findings highlight the value of incorporating real-time vehicle control states into the design of adaptive advanced driver-assistance systems to improve warning system effectiveness. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Beyond-line-of-sight; Causal machine learning; Heterogeneous treatment effect; State-dependence; Vehicle-to-everything; Young driver response","Accidents, Traffic; Automobile Driving; Computer Simulation; Humans; Machine Learning; Automobile drivers; Control system synthesis; Data mining; Driver training; Hazards; Learning systems; Machine learning; Real time systems; Vehicles; Beyond line of sight; Causal machine learning; Driver response; Heterogeneous treatment effect; Machine-learning; State dependence; State-dependent; Treatment effects; Young driver; Young driver response; adult; algorithm; Article; causal model; confirmatory factor analysis; driver; dynamics; exploratory factor analysis; female; human; kinematics; Likert scale; machine learning; male; null hypothesis; overall response score; perception; psychologic assessment; questionnaire; scoring system; sensitivity analysis; Shapley additive explanation; simulation; state dependent causal effect; therapy effect; treatment effect heterogeneity; car driving; computer simulation; prevention and control; psychology; traffic accident; Advanced driver assistance systems","Article","Final","","Scopus","2-s2.0-105043067413"
"Jiang X.; Lv G.; Burroughs A.; Li M.; Yuan J.; Lu Z.K.","Jiang, Xiangxiang (57328886200); Lv, Gang (13104639000); Burroughs, Amber (60820434800); Li, Minghui (55533379000); Yuan, Jing (57216877631); Lu, Z Kevin (59157719100)","57328886200; 13104639000; 60820434800; 55533379000; 57216877631; 59157719100","Heterogeneity in the association between antihypertensive medications and Alzheimer's disease and related dementias risk: A multidimensional machine learning analysis to inform drug repurposing","2026","Journal of Alzheimer's disease : JAD","113","1","","345","352","0","10.1177/13872877261469115","https://www.scopus.com/pages/publications/105049016298?origin=resultslist","BackgroundAlzheimer's disease and related dementias (ADRD) place an immense burden on patients, families, and health systems in the United States. Hypertension is highly prevalent in ADRD patients, and antihypertensive medications (AHMs) may confer neuroprotective benefits. However, evidence of association between AHM use and ADRD risk remains limited, especially by drug classes and across population subgroups.ObjectiveThis study aimed to evaluate the association between antihypertensive medications (AHMs) use and ADRD risk, and assess heterogeneity by drug classes and demographics.MethodsWe analyzed 2015-2019 Medicare Current Beneficiary Survey data linked with Medicare claims. ADRD was identified by International Classification of Diseases (ICD) codes, anti-dementia drug use, and survey responses. This study included AHMs from 8 classes. Double/debiased machine learning was employed, adjusting for factors from environmental, sociocultural, behavioral, and biological domains.ResultsAmong 144,788,079 weighted Medicare beneficiaries, 75.44% used AHMs. Overall, AHM use was associated with a 5% reduction in ADRD risk (Effect: 0.95; 95% CI: 0.94-0.95). Heterogeneity in protective effects was observed for most AHM classes, except vasodilators and centrally acting alpha-adrenergic agonists, which were linked to increased ADRD risk (p < 0.001). Disparities were found across age and sex groups, with greater effects in older adults, and were observed for all racial and ethnic groups (p < 0.05) except Hispanics.ConclusionsThis study found that AHM use was associated with reduced ADRD risk, with notable heterogeneity across subgroups, highlighting the importance of integrating hypertension care into cognitive health to develop equitable and personalized strategies.","Alzheimer's disease and related dementias; antihypertensive medications; disparities; double/debiased machine learning; Medicare Current Beneficiary Survey","Aged; Aged, 80 and over; Alzheimer Disease; Antihypertensive Agents; Dementia; Drug Repositioning; Female; Humans; Hypertension; Machine Learning; Male; Medicare; Risk Factors; United States; antihypertensive agent; aged; Alzheimer disease; classification; dementia; drug repositioning; drug therapy; epidemiology; female; human; hypertension; machine learning; male; medicare; risk factor; United States; very elderly","Article","Final","","Scopus","2-s2.0-105049016298"
"Kong X.; Chen B.; Wang W.; Wang R.","Kong, Xiangxi (57222489593); Chen, Binger (59249965700); Wang, Wenji (58563187300); Wang, Rui (60607836400)","57222489593; 59249965700; 58563187300; 60607836400","Diverse corporate culture, supply chain finance and innovation resilience: New evidence from firm-level data","2026","International Review of Financial Analysis","118","","105360","","","0","10.1016/j.irfa.2026.105360","https://www.scopus.com/pages/publications/105047996448?origin=resultslist","Using firm-level data from 2008 to 2022, this paper measures the innovation resilience of Chinese A-share listed firms and, on this basis, employs multiple linear regression models and a double machine learning framework to examine the relationships between multiple dimensions of corporate culture (integrity, innovation, cooperation, and competition), supply chain finance (SCF), and innovation resilience. The results show that integrity culture, innovation culture, cooperative culture, and competitive culture are all significantly positively associated with firms' innovation resilience. Mechanism analysis based on the main fixed-effects specification indicates that the four cultural dimensions are positively related to SCF, and SCF is positively related to innovation resilience. Further heterogeneity analysis reveals that under low market competition, innovation culture, cooperative culture, and competitive culture have positive effects. Integrity culture is insignificant. Under high market competition, integrity culture, innovation culture, and cooperative culture have positive effects. Competitive culture is insignificant. From the perspective of the corporate life cycle, integrity culture, innovation culture, and cooperative culture are significant during the introduction stage. Innovation culture and competitive culture are significant during the growth stage. Only integrity culture remains significant in the maturity and decline stages. In the exit stage, none of the four cultural dimensions is significant. Among firms certified under ISO 9001, only innovation culture has a significant positive effect. Among non-certified firms, all four types of culture exhibit positive effects. The study further finds that extreme events induce fluctuations in innovation resilience, and that the 2008 global financial crisis, the 2015 A-share market crash, and the COVID-19 pandemic are associated with different patterns of changes in innovation resilience. Overall, the findings enrich the typological analysis of the impact of corporate culture on firms' innovation resilience and provide more targeted recommendations for cultivating innovation resilience at the firm level. Copyright © 2026. Published by Elsevier Inc.","Diverse corporate culture; Double machine learning; Innovation resilience; Supply chain finance","","Article","Final","","Scopus","2-s2.0-105047996448"
"Huang R.; Liu X.; Tian J.; Liu C.; Wang S.; Zhang Q.","Huang, Renquan (57265076700); Liu, Xiao (60368950200); Tian, Jing (57979683200); Liu, Chenbo (60369353500); Wang, Shuyan (60369353600); Zhang, Qingyun (60369755300)","57265076700; 60368950200; 57979683200; 60369353500; 60369353600; 60369755300","Sci-Tech finance efficiency promotes the construction of a modernized industrial system evidence from double machine learning","2026","Scientific Reports","16","1","4800","","","1","10.1038/s41598-026-35019-1","https://www.scopus.com/pages/publications/105029238536?origin=resultslist","Promoting a virtuous cycle among science, technology, finance, and industry is essential for advancing a modernized industrial system. Using provincial panel data from China spanning 2010–2023, this study applies a Double Machine Learning framework to investigate the causal impact of Sci-Tech finance efficiency (STFE) on the construction of a modernized industrial system(CMIS) and to uncover its internal mechanisms. The empirical results demonstrate that higher STFE significantly promotes industrial modernization by enhancing structural upgrading and innovation capacity. Mechanism analysis further reveals that STFE accelerates the transformation of scientific and technological achievements, strengthens the integration between digital technologies and the real economy, and optimizes the allocation of key production factors—including capital, talent, and technology. These mechanisms collectively foster the coordinated upgrading of industrial systems. Moreover, the heterogeneity analysis shows that the positive impact of STFE is more pronounced in regions with stronger economic foundations, higher degrees of marketization, and lower fiscal constraints, highlighting regional disparities in policy effectiveness. Overall, this study extends the theoretical understanding of the finance–technology–industry nexus under the DML framework and provides actionable insights for promoting regional coordination and differentiated policy design in the process of industrial modernization. © The Author(s) 2026.","Double machine learning; Modernized industrial system; Sci-Tech finance efficiency; Transformation of scientific and technological achievements","article; controlled study; digital technology; economic aspect; finance; human; machine learning; productivity; tight junction","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029238536"
"Gan H.","Gan, Hanyu (60861784300)","60861784300","From Catch-Up to Frontier Leadership: How Digital Transformation Drives Breakthroughs in Critical Core Technologies","2026","Proceedings of 2026 7th International Conference on Computer Information and Big Data Applications, CIBDA 2026","","","","1899","1904","0","10.1145/3813822.3814126","https://www.scopus.com/pages/publications/105050182306?origin=resultslist","Digital transformation is widely regarded as a key driver of firm innovation, yet whether it facilitates breakthroughs in critical core technologies remains unclear. Using panel data of Chinese A-share listed firms from 2014 to 2023, this study examines the causal effect of digital transformation on breakthrough innovation measured by a patent-based index. A firm-level digital transformation indicator is constructed through large-scale textual analysis of annual reports. To address endogeneity and high-dimensional confounding, we employ a double machine learning framework combined with an artificial neural network instrumental variable approach [3]. The results show that digital transformation significantly promotes breakthroughs in critical core technologies. Mechanism analyses indicate that this effect operates through improved resource allocation efficiency and an upgraded human capital structure. Heterogeneity analyses further reveal stronger effects among non-state-owned firms and firms operating in regions with more developed digital infrastructure. These findings provide empirical evidence on how data-driven transformation supports frontier technological innovation. © 2026 Copyright held by the owner/author(s).","Breakthrough innovation; Critical core technologies; Digital transformation; Double machine learning; Patent-based innovation","Information management; Information use; Learning systems; Machine learning; Metadata; Breakthrough innovations; Core technology; Critical core technology; Digital transformation; Double machine learning; Firm innovation; Large-scales; Machine-learning; Panel data; Patent-based innovation; Neural networks; Patents and inventions","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105050182306"
"Hu J.; Chen Y.; Wang J.; Ai X.","Hu, Jiang (57225128023); Chen, Yu (60815163400); Wang, Jiayue (60633408600); Ai, Xinyu (60633115000)","57225128023; 60815163400; 60633408600; 60633115000","Digital Transformation and Supply Chain Resilience in Electric Vehicle Manufacturing Firms: Evidence from China","2026","World Electric Vehicle Journal","17","8","382","","","0","10.3390/wevj17080382","https://www.scopus.com/pages/publications/105048684122?origin=resultslist","Electric vehicle manufacturing firms face increasing supply chain vulnerability due to component shortages, technological interdependence, raw material volatility, and demand uncertainty. This study aims to examine whether digital transformation can be translated into a resilience-building capability and to identify the transmission channels. Using panel data from Chinese A-share listed electric vehicle manufacturing firms from 2014 to 2023, we employ a double machine learning framework to estimate the relationship between digital transformation and supply chain resilience while accounting for high-dimensional firm-level controls. The results show that digital transformation is positively associated with supply chain resilience. This finding remains robust across alternative sample-splitting ratios, different machine learning algorithms, alternative winsorization thresholds, and sample restrictions. It also holds after addressing potential endogeneity using instrumental variable estimation. Mechanism tests indicate that digital transformation contributes to resilience by promoting technological innovation and reducing managerial transaction costs. Heterogeneity analysis further shows that the effect is more pronounced among firms with stronger market positions, larger firms, and vehicle manufacturers. These findings suggest that digital transformation is not merely a tool for operational upgrading but also an important organizational capability for strengthening supply chain resilience in electric vehicle manufacturing. © 2026 by the authors.","digital transformation; double machine learning; electric vehicle manufacturing firms; managerial transaction costs; supply chain resilience; technological innovation","Electric machine control; Electric vehicles; Learning systems; Machine learning; Supply chains; Digital transformation; Double machine learning; Electric vehicle manufacturing firm; Machine-learning; Managerial transaction cost; Manufacturing firms; Supply chain resiliences; Technological innovation; Transaction cost; Vehicle manufacturing; Learning algorithms; Metadata","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105048684122"
"Li J.; Guo F.; Yang W.; Guo Y.; Chen Y.","Li, Jingyang (58119764100); Guo, Fengxiang (51061205900); Yang, Wenchen (24340311700); Guo, Yanyong (7406309912); Chen, Yuguang (35145211700)","58119764100; 51061205900; 24340311700; 7406309912; 35145211700","Investigating heterogeneous human factor effects on crash severity: A counterfactual study in mountainous freeways","2026","Accident Analysis and Prevention","234","","108597","","","0","10.1016/j.aap.2026.108597","https://www.scopus.com/pages/publications/105040697141?origin=resultslist","Accurately estimating the causal effect of human factors on crash severity in mountainous freeways is pivotal for developing effective safety strategies. Although previous studies have investigated human factors, they typically focus on estimating average effects under specific conditions, often conflating statistical correlations with causal relationships. Consequently, the underlying causal mechanisms in freeway crashes remain unclear. To address this limitation, this study proposes a dynamic weighted double machine learning framework that integrates LightGBM and XGBoost models to estimate confounder-outcome and treatment-outcome relationships. By optimizing model weights and using non-human-caused crashes as a control group, the effects of five human factors are isolated through counterfactual reasoning. The heterogeneous treatment effects of human factors on crash severity are quantified, and causal relationships are analyzed across variables such as weather, slope, truck traffic volume, and vehicle type. The results reveal significant heterogeneity in crash severity attributable to human factors compared to non-human factors. Inadequate safety distance often co-occurs with other high-risk conditions, amplifying crash severity. Reversing behavior is particularly sensitive to weather conditions. The causal pathways of distracted or fatigued driving and driving in the wrong lane are influenced by daily truck traffic volume and road slope. Additionally, interactions between slope and vehicle type significantly affect the severity of overloaded crashes. These findings underscore the need for targeted interventions addressing specific human factors in high-risk scenarios. Consequently, enforcement against reversing and overloading on steep slopes with high truck volume should be intensified, and heavy trucks should be restricted to right lanes on high-risk segments. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Causal inference; Double machine learning; Heterogeneous treatment effect; Human factor; Traffic crash","Accidents, Traffic; Automobile Driving; Boosting Machine Learning Algorithms; Causality; Environment Design; Humans; Machine Learning; Risk Factors; Weather; Highway accidents; Highway systems; Human engineering; Learning systems; Machine learning; Mine trucks; Causal inferences; Condition; Counterfactuals; Crash severity; Double machine learning; Heterogeneous treatment effect; Machine-learning; Mountainous freeway; Traffic crashes; Treatment effects; adult; article; controlled study; data mining; human; machine learning; nonhuman; normal human; therapy effect; treatment effect heterogeneity; weather; boosting machine learning algorithm; car driving; causality; environmental planning; machine learning; risk factor; traffic accident; Risk perception","Article","Final","","Scopus","2-s2.0-105040697141"
