"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhurakhovska L.","Zhurakhovska, Liudmyla (58699166300)","58699166300","INVESTMENT STRATEGY OF THE BANKING SECTOR IN THE CONTEXT OF FINANCIAL MARKET INSTABILITY","2023","Financial and Credit Activity: Problems of Theory and Practice","5","52","","25","39","4","10.55643/fcaptp.5.52.2023.4152","https://www.scopus.com/pages/publications/85177026506?origin=resultslist","The banking sector plays a leading role in the financial market efficiency. Nevertheless, current global trends can have a significant negative impact on financial markets, thereby directly affecting the banking sector. This necessitates regular revision and im-provement of banking strategies, in particular, investment strategies. The aim of this study is to identify priority areas of the investment strategy of the banking sector in the context of financial market instability. The research involved the methods of economic and statistical analysis, namely horizontal and vertical analysis, forecasting based on retrospective data, the comparison method, and the radar method. The analysis of trends in the investment activity of Ukrainian banks gave grounds to determine that the banking sector is characterized by low investment activity, and banks invest mostly in government securities. A comparison of the investment portfolio of Ukrainian and German revealed the high dependence of the volume of the portfolio of Ukrainian banks on geopolitical events, while German banks demonstrate greater stability. The general directions of the banks’ investment strategy in the context of financial market instability (diversification, monitoring, ensuring liquidity) are proposed. More specific directions of that strategy are also defined: investment in stability and resilience, investment in the recovery and development of post-conflict regions, strengthening of financial inclusion. The practical value of the work is the possibility of using its results by state managers and bank management to increase the effectiveness of the investment strategy in the long run. Further research will focus on developing an investment business model of banks taking into account the sustainable development principles using the example of one of the leading banking institutions of Ukraine. © 2023 by the author(s).","bank assets; banking sector; financial inclusion; financial markets; geopolitical factors; instability; investment strategy; loans; securities; stock market","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85177026506"
"Esomar M.J.F.; Sumiati S.; Wijayanti R.; Aisjah S.","Esomar, Maria Josefa Fabiana (57216259318); Sumiati, Sumiati (60757711100); Wijayanti, Risna (57201605679); Aisjah, Siti (57193755461)","57216259318; 60757711100; 57201605679; 57193755461","Digital financial literacy and resilience in MSMEs: a bibliometric systematic literature review","2025","International Journal of Business Innovation and Research","38","8","","1","30","1","10.1504/IJBIR.2025.150149","https://www.scopus.com/pages/publications/105024256188?origin=resultslist","This study aims to conduct a systematic review of the analysing financial literacy and financial resilience in the context of micro, small, and medium enterprises (MSMEs). The methodological approach utilised was a systematic literature review (SLR), using the Scopus database to perform targeted keyword searches. The article selection process adhered to inclusion and exclusion criteria, specifically focusing on English-language publications from 2014 to 2024. Additionally, R package and VOSviewer were used to visualise bibliometric datasets, identify research trends, and uncover patterns in the literature on financial literacy and resilience in MSMEs. The findings demonstrated that financial literacy significantly enhances the financial resilience of MSMEs by improving financial management skills, facilitating informed investment decisions, expanding access to financial resources, and fostering positive financial behaviours. The thematic analysis highlights critical linkages between financial literacy, financial inclusion, digital literacy, and business sustainability, emphasising a growing post-pandemic focus on digitalisation and financial resilience. Copyright © The Author(s) 2025.","bibliometric; COVID-19; digital finance; financial resilience; MSMEs; Scopus; SLR; systematic literature review","","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105024256188"
"Iqbal S.; Wang Y.; Ali S.; Amin N.; Kausar S.","Iqbal, Shahid (57617538000); Wang, Ying (57219034437); Ali, Sharafat (57214290508); Amin, Nabila (57294930100); Kausar, Shaheen (58153908300)","57617538000; 57219034437; 57214290508; 57294930100; 58153908300","Asymmetric Determinants of Renewable Energy Production in Pakistan: Do Economic Development, Environmental Technology, and Financial Development Matter?","2024","Journal of the Knowledge Economy","15","1","","4097","4114","26","10.1007/s13132-023-01309-6","https://www.scopus.com/pages/publications/85150743769?origin=resultslist","This study extends the energy-environment literature by investigating the asymmetric determinants of renewable energy production in a developing country like Pakistan. We have utilized the linear and nonlinear versions of the ARDL method for short- and long-run analysis. The findings of the linear model imply that long-term improvement in renewable energy production is influenced by factors such as GDP, environmental advancements, CO2 emissions, financial development, and foreign direct investment. Aside from foreign direct investment, every other factor promotes renewable energy development in the short run. Likewise, the findings of the nonlinear framework confirm that positive shocks in GDP, environment-related technologies, and financial development promote renewable energy production. On the other hand, although the negative shock to environmental technology lowers renewable energy output, the negative shock to the GDP and financial growth is negligible. The production of renewable energy is increased in the short run by positive shocks to GDP, environmental technology, and foreign direct investment, whereas adverse shocks halt the production of renewable energy. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.","Environmental technology; Financial development; GDP; Pakistan; Renewable energy production; Sustainable development","","Article","Final","","Scopus","2-s2.0-85150743769"
"Anh N.T.; Thu L.T.","Anh, Nguyen The (57212404316); Thu, Le Tai (59965953900)","57212404316; 59965953900","Impact of financial behavior on savings strategies among the poor in Vietnam","2025","Asian Development Policy Review","13","2","","190","209","0","10.55493/5008.v13i2.5400","https://www.scopus.com/pages/publications/105009220569?origin=resultslist","This study focuses on improving the savings behavior of the poor in Vietnam, who face numerous challenges due to limited socio-economic conditions and inadequate access to formal financial services. The research employs a multivariable linear regression model to quantify the roles of income stability, financial literacy, access to banking services, health risks, social safety nets, and cultural norms. Data were collected through a quantitative survey ensuring representativeness and reliability. The analysis explores how these socio-economic factors interact to influence savings behavior. The results indicate a significant correlation between the above variables and the adoption of sound saving practices. Integrating financial and educational support for the Vietnamese poor, alongside a broader socio-economic perspective, plays a pivotal role in fostering better savings behavior. The study underscores the importance of socio-cultural contexts and appropriate financial incentives in enhancing the savings behavior of vulnerable groups. These findings offer insights for policymakers, financial institutions, and stakeholders in promoting financial inclusion, improving financial management literacy, and bolstering economic resilience among disadvantaged communities in Vietnam. © 2025 AESS Publications. All Rights Reserved.","Financial inclusion; Financial literacy; Multivariable linear regression; Savings strategies; Socio-economic disparities; Vietnam economic empowerment","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009220569"
"Li B.; Cao X.; Liu Z.","Li, Bangxi (59045465100); Cao, Xiaohan (60819029900); Liu, Zhengyang (60819428400)","59045465100; 60819029900; 60819428400","ENHANCING ECONOMIC RESILIENCE THROUGH DIGITAL INNOVATION: THE ROLE OF FINANCIAL INCLUSION AND INFRASTRUCTURE IN URBAN CHINA","2026","Technological and Economic Development of Economy","32","4","","1358","1386","0","10.3846/tede.2026.26548","https://www.scopus.com/pages/publications/105048916859?origin=resultslist","The digital revolution has redefined financial inclusion, significantly enhancing the capacity of urban economies to withstand and recover from economic shocks. Using panel data from 285 Chinese cities between 2011 and 2020, this study examines the role of digital innovation in promoting economic Resilience, drawing on econometric models and Martin and Sunley’s conceptual framework of Resilience. Our findings reveal that the Digital Innovation Framework (DIF) enhances economic Resilience by driving financial inclusion, technological adoption, and infrastructure development. However, regional disparities persist, with the eastern and central regions benefiting more than the western and southern regions, which have lower economic scales. The quality of corporate operations and the stability of financial markets further amplify the positive effects of digital finance on Resilience. Mediating factors, including the adoption of digital technologies and household expenditure levels, significantly strengthen the impact of DIF on urban Resilience. This study highlights the dual role of digital finance as both a catalyst for innovation and a tool for promoting equitable economic growth. The findings underscore the importance of region-specific policies in bridging development gaps, particularly in less developed areas. Policymak-ers are encouraged to promote inclusive digital strategies that foster fairer growth while leveraging the transformative potential of DIF. © 2026 The Author(s). Published by Vilnius Gediminas Technical University.","digital infrastructure; Digital Innovation Framework (DIF); economic resilience; financial inclusion; regional disparities; technological adoption; urban development","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105048916859"
"Fu D.; Lu Y.; Wang S.","Fu, Dahai (55286706900); Lu, Yi (54901610300); Wang, Shufei (58981268900)","55286706900; 54901610300; 58981268900","Export expansion, demand for external finance, and regional financial development: Evidence from China","2026","Journal of Comparative Economics","54","1","","248","272","1","10.1016/j.jce.2025.11.001","https://www.scopus.com/pages/publications/105025014622?origin=resultslist","Why did China’s export boom not boost its financial development? This paper offers a novel explanation from a regional perspective. We leverage variations in industries’ external finance dependence (EFD) and decompose a region’s export shock into two additive subcomponents: high-EFD and low-EFD export shocks. Our findings reveal that the export expansion of high-EFD industries significantly enhances financial development, while that of low-EFD industries diminishes it. Therefore, the lack of response in China’s financial development to its export expansion stems from the prevalence of regions specializing in low-EFD industries. Our study highlights the importance of accounting for industry-specific variations in external finance dependence when analyzing the demand effects of regional export expansion. © 2025 Association for Comparative Economic Studies.","China; Financial demand; Financial development; Regional export expansion","","Article","Final","","Scopus","2-s2.0-105025014622"
"Akyüz A.; Okay A.S.","Akyüz, Ayşen (56004743100); Okay, Ahmet Serkan (60128744700)","56004743100; 60128744700","Sustainable Customer Relationship Management in Turkish Banking Sector: A Path to Long-Term Success","2025","Contributions to Economics","Part F4949","","","229","241","0","10.1007/978-3-031-86236-6_17","https://www.scopus.com/pages/publications/105026637638?origin=resultslist","Customer relationship management (CRM) strategies must be in line with environmental, social, and governance (ESG) principles as sustainability gains traction in the banking industry. This study investigates sustainability-oriented CRM in the Turkish banking industry. The results show that in order to improve client relations, digitalization is a top priority for both participation and deposit banks. While deposit banks use client feedback to develop customer-centric sustainability efforts, participation banks focus on loyalty programs and multi-channel strategies. Additionally, analytics and data mining are used successfully to better understand consumer behavior and enhance risk management procedures. CRM software is essential for maintaining security and safeguarding customer privacy, both of which increase customer confidence. Campaign management emerges as a strategic tool for promoting sustainable financial products and increasing awareness through social responsibility projects. Social CRM enhances customer engagement through digital loyalty programs, chatbots, and financial inclusion services. Sustainability-oriented CRM not only fosters customer loyalty but also strengthens corporate resilience. As digital transformation accelerates, banks are encouraged to adopt more proactive and innovative approaches to sustainability-driven CRM strategies to ensure long-term success. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Banking; Sustainability; Sustainable banking; Sustainable CRM","","Book chapter","Final","","Scopus","2-s2.0-105026637638"
"Emter L.","Emter, Lorenz (57205700517)","57205700517","Leverage cycles, growth shocks, and sudden stops in capital inflows","2023","International Review of Economics and Finance","84","","","711","731","1","10.1016/j.iref.2022.11.029","https://www.scopus.com/pages/publications/85144273759?origin=resultslist","Using a quarterly panel of 98 advanced as well as emerging and developing countries from 1990 to 2018, this paper examines covariates of sudden stops in capital inflows. It shows that domestic variables are related to the probability of incurring sharp reversals in capital inflows controlling for global push factors. In particular, negative growth shocks combined with high levels of leverage in the domestic private sector are significantly correlated with sudden stops. This is in line with real business cycle models including an occasionally binding credit constraint and income trend shocks. © 2022 Elsevier Inc.","Financial stability; International capital flows; Sudden stops","","Article","Final","","Scopus","2-s2.0-85144273759"
"Thebuho W.; Opperman P.; Steenkamp L.-A.","Thebuho, Winnie (57802700400); Opperman, Pieter (57195976568); Steenkamp, Lee-Ann (56366628300)","57802700400; 57195976568; 56366628300","The asymmetric effect of financial development on energy consumption in sub-Saharan Africa","2022","Cogent Economics and Finance","10","1","2095770","","","13","10.1080/23322039.2022.2095770","https://www.scopus.com/pages/publications/85134158221?origin=resultslist","Sub-Saharan Africa (SSA) ranks lowest globally in respect of energy access rates. The resulting high energy poverty impedes sustainable economic growth and aggravates the overall poverty which is prevalent in SSA countries. A better understanding of the relationship between financial development and energy consumption can contribute to enhancing sustainable development in SSA. The existing literature presents conflicting evidence regarding this relationship. Our objective is to investigate the symmetric and asymmetric relationships between financial development and energy consumption in SSA, using annual data from 1990 to 2016. The Autoregressive Distributed Lag (ARDL) panel estimator was employed to test for the linear relationship and symmetric effects of the long-run and short-run coefficients. The asymmetry was determined by decomposing financial development into positive and negative components, employing the non-linear ARDL (NARDL) method. The results reveal that a positive financial development shock is positively linked with energy consumption in the long-run implying that further financial development intensifies energy consumption. Results of the negative shock in financial development is positively linked with energy consumption in the long-run implying that the reduction in financial development could decrease energy consumption. © 2022 The Author(s). This open access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license.","Asymmetry; energy consumption; energy poverty; financial development; non-linear autoregressive distributed lag; sub-Saharan Africa","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85134158221"
"Ditta H.; Thakkar A.; Asmelash A.","Ditta, Habtamu (59968602700); Thakkar, Aashka (59217671000); Asmelash, Andinet (59968605900)","59968602700; 59217671000; 59968605900","The Prospects of Traditional Branch Banking in the Era of Digital Dominance","2025","Strategic Workforce Reskilling in Service Marketing","","","","25","48","2","10.4018/979-8-3373-0164-8.ch002","https://www.scopus.com/pages/publications/105009394880?origin=resultslist","This study explores the future of branch- based banking in Ethiopia, examining how digital banking technologies impact branch networks. Using data from the National Bank of Ethiopia and 13 commercial banks (2016-2023), the study applies random effects regression and structural equation modeling. Findings show ATM deployment reduces branch numbers, indicating a substitution effect, while mobile banking users and POS terminals support branch expansion. A higher cost-to-income ratio negatively impacts branch growth, highlighting cost efficiency’s role. Bank size mediates the impact of mobile banking on branches. The study suggests a hybrid model, balancing digital banking with physical branches to enhance financial inclusion and operational resilience.","","Banking; Banking technologies; Branch number; Commercial bank; Ethiopia; Mobile bankings; Random effects; Regression equation; Structural equation models; Substitution effect; Technology impact; Random processes","Book chapter","Final","","Scopus","2-s2.0-105009394880"
