"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Hałka A.; Szafranek K.","Hałka, Aleksandra (56416379000); Szafranek, Karol (57188631991)","56416379000; 57188631991","Whose Inflation Is It Anyway? Inflation Spillovers Between the Euro Area and Small Open Economies","2016","Eastern European Economics","54","2","","109","132","20","10.1080/00128775.2015.1126788","https://www.scopus.com/pages/publications/84961898739?origin=resultslist","For the last two years, inflation has been steadily falling across the countries of the European Union, generating mounting deflationary pressures. Recent studies suggest that apart from the global determinants influencing broad inflation measures (e.g., plummeting commodity prices), core inflation components are subject to the rising influence of globalization. Our analysis focuses on two aspects: the percentage of Harmonised Index of Consumer Prices (HICP) components affected by deflation, and the spillovers of headline, core, non-energy goods and services inflation between the euro area and selected small open economies. In order to address the issue of inflation broadness, we calculate the percentages of HICP components whose annual growth rates fall into certain ranges and introduce a simple measure, the discrepancy index, to show the relative strength of deflationary and inflationary groups. To address the problem of quantifying inflation spillovers across the selected economies, we use the Diebold and Yilmaz spillover indices. The results indicate that the share of deflationary groups for most countries has been consistently rising since 2010, with the discrepancy index approximating its all-time lows in the fourth quarter of 2014. Simultaneously we show that the spillover index for non-energy industrial goods and services inflation has recently risen considerably, with the measure for headline inflation remaining elevated and the one for core inflation dropping. The euro area remains a net inflation transmitter in most cases. © Copyright 2016 Taylor & Francis Group, LLC.","disaggregation; euro area; inflation; small open economy; spillovers; VAR","Europe; commodity price; economic analysis; European Union; inflation; international trade; small and medium-sized enterprise; spillover effect","Article","Final","","Scopus","2-s2.0-84961898739"
"Hammoudeh S.; Nguyen D.K.; Sousa R.M.","Hammoudeh, Shawkat (6602687914); Nguyen, Duc Khuong (25633212500); Sousa, Ricardo M. (35270013700)","6602687914; 25633212500; 35270013700","US monetary policy and sectoral commodity prices","2015","Journal of International Money and Finance","57","","","61","85","114","10.1016/j.jimonfin.2015.06.003","https://www.scopus.com/pages/publications/84939567820?origin=resultslist","Using a Structural VAR (SVAR) model, we examine the effects of the monetary policy of the United States on sectoral commodity prices (including the non-fuel commodity prices, food prices, beverage prices, prices of agricultural raw materials, prices of metals and prices of fuel (energy) commodities) and macroeconomic activity. The empirical evidence suggests that a U.S. monetary contraction leads to an immediate rise in the broad commodity price index, which possibly reflects an aggregation bias, greater expected inflation and speculation, high production costs or some overshooting due to overreactions. Then, the response erodes after six quarters as the positive interest rate shock vanishes and higher interest rates and liquidity drainage take traction. Despite this, the aggregate price response masks the existence of significant heterogeneity in the price responses of the different types of commodity sectors. More specifically, a positive interest rate shock leads to: (i) an initial pop in the price returns of the non-fuel commodities, which later reverses path and becomes negative (as in the case of the prices of agricultural raw materials); (ii) a positive and persistent rise in the volatile food prices; (iii) a fall in the beverage prices; and (iv) a persistent reduction in the prices of metals and the prices of energy prices. Our results also remain globally intact with respect to alternative specifications and identification schemes as well as to unconventional monetary policy effects. Similar results are also found when commodity futures prices are used. We conclude that policymakers should recognize the source of sector inflation before embarking on contractionary monetary policy. The design of core inflation targeting is also preferable to headline inflation targeting. © 2015 Elsevier Ltd.","Commodity prices; Monetary policy; Structural VAR","","Article","Final","","Scopus","2-s2.0-84939567820"
"Coutinho L.; Licchetta M.","Coutinho, Leonor (23391704500); Licchetta, Mirko (40761797300)","23391704500; 40761797300","Inflation Differentials in the Euro Area at the Time of High Energy Prices","2025","Open Economies Review","36","5","","1463","1497","2","10.1007/s11079-025-09802-y","https://www.scopus.com/pages/publications/105004351693?origin=resultslist","Inflation differentials in the euro area widened in 2022 to historically high levels in the context of a surge in energy and other commodity prices. On the one hand, some degree of inflation differentials within the euro area may be seen as a natural part of an adjustment process, rather than a problem per se for economic policy. On the other hand, persistent inflation differentials can adversely affect competitiveness in higher inflation countries. This paper uses principal component and panel regression models to investigate the drivers of inflation differentials. Our empirical estimates suggest the impact of a common shock – asymmetric across Member States and mostly related to the increase in energy and food prices – can explain up to two thirds of the increase in headline inflation in 2022. The estimated responses to the common factor increase with energy intensity, reflecting the important role of energy prices in driving global shocks to inflation, and decline with the share of services in Gross Value Added (GVA), suggesting that countries with a larger manufacturing sector have been more sensitive to common factors. The common factor is also found more prominent in 2020–22 than in previous periods. The remainder of inflation developments can be explained by more local and crisis related factors. Results are robust to including a lagged dependent variable in the model, instead of accounting for the autocorrelation in the residuals with GLS estimates. The lagged dependent variable captures some of the effect of the common factor, suggesting that persistence may be associated with a relatively long pass-through for the energy shock, related to the staggered nature of supply contracts and price setting in the euro area. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Deflation; Energy and the Macroeconomy; Inflation; Macroeconomic Issues of Monetary Unions; Price Level","Europe; competitiveness; energy market; inflation; macroeconomics; monetary union","Article","Final","","Scopus","2-s2.0-105004351693"
"Siami-Namini S.; Hudson D.; Trindade A.A.; Lyford C.","Siami-Namini, Sima (57201302278); Hudson, Darren (7202892942); Trindade, Adao Alexandre (8559896300); Lyford, Conrad (6508249946)","57201302278; 7202892942; 8559896300; 6508249946","Commodity price volatility and U.S. monetary policy: Commodity price overshooting revisited","2019","Agribusiness","35","2","","200","218","17","10.1002/agr.21564","https://www.scopus.com/pages/publications/85064087604?origin=resultslist","Commodity price volatility has created concerns for central bank policy-makers. Recent commodity prices peaked in the consequences of the financial crisis of 2007, and they have remained relatively volatile since. As they are often seen as being connected in a cause and effect relationship with inflation and real output, the driving forces behind commodity price volatility are necessary for the conduct of monetary policy. Using an autoregressive moving average with an exponential generalized autoregressive conditional heteroscedastic (ARMA-EGARCH) process, we extract the conditional variance series to find volatility spillover between monetary policy and commodity price index. The findings show that the volatility of agricultural commodity price index and other commodities price indices overshoot the long-run equilibrium price in response to an impulse in monetary policy. © 2018 Wiley Periodicals, Inc.","ARMA-EGARCH model; commodity prices; monetary policy; overshooting hypothesis; VECM approach","","Article","Final","","Scopus","2-s2.0-85064087604"
"Siami-Namini S.","Siami-Namini, Sima (57201302278)","57201302278","U.S. Monetary Policy and Commodity Prices: A SVECM Approach","2021","Economic Papers","40","4","","288","312","6","10.1111/1759-3441.12309","https://www.scopus.com/pages/publications/85105019623?origin=resultslist","This article discusses how U.S. monetary policy shocks can influence commodity prices. Historically, a lot of studies in the literature have investigated the impact of short-term interest rates on different types of commodity prices. This article takes a more comprehensive approach and contributes to the literature by analysing the effect of both short- and long-term interest rates as well as M2 money stock on commodity prices at aggregate and sub-indices levels. The “B-model” variant of structural vector error correction models (SVECMs) is used to estimate the restricted contemporaneous impact matrix (SR) and the restricted long-term impact matrix (LR). Furthermore, SVECMs impulse response functions are used to evaluate the extent to which monetary policy shocks explain commodity prices. In contrast with the results of previous studies, we do not find evidence of a strong response pattern of commodity prices to monetary policy shocks in the short term. However, monetary policy shocks can explain commodity prices and their components in the long term. From a policy point of view, monetary authorities should exercise caution in using short-term effects of monetary policy instruments on commodity prices, given their long-term impact is inflationary while there are no beneficial short-term effects. © 2021 The Economic Society of Australia.","B-model; Commodity prices; Monetary policy; SVECMs","","Article","Final","","Scopus","2-s2.0-85105019623"
"Cruz M.; Sánchez A.; Amann E.","Cruz, Moritz (8582823100); Sánchez, Armando (26650270600); Amann, Edmund (7006601766)","8582823100; 26650270600; 7006601766","Mexico: Food price increases and growth constraints","2011","Cepal Review","","105","","73","86","7","10.18356/0aafee9a-en","https://www.scopus.com/pages/publications/84861412635?origin=resultslist","This paper uses dynamic panel techniques to evaluate the extent to which Mexico's consumer price index will be affected by food price inflation in the long term. We argue that sharp increases in international food prices (of the type seen since 2001) are likely to persist and to reinforce domestic growth constraints in Mexico. Our results suggest that in an economy like Mexico's that is highly dependent on imported food, the consumer price index will be noticeably affected by international food price increases. Conducting monetary policy without reference to the structural issue of food price inflation is therefore likely to be ineffective in controlling inflation and could be damaging in terms of its impact on demand and growth. Thus, the revitalization of the Mexican agricultural sector should be a centrepiece of future counter-inflationary policy.","Economic growth; Economic statistics; Food prices; Food production; Inflation; Mathematical analysis; Mexico; Price indices","","Article","Final","","Scopus","2-s2.0-84861412635"
"Gospodinov N.; Jamali I.","Gospodinov, Nikolay (6506561526); Jamali, Ibrahim (37066057700)","6506561526; 37066057700","Monetary policy uncertainty, positions of traders and changes in commodity futures prices","2018","European Financial Management","24","2","","239","260","35","10.1111/eufm.12150","https://www.scopus.com/pages/publications/85034230683?origin=resultslist","This paper examines the sensitivity of commodity price changes to monetary policy uncertainty. We find evidence that the response of commodity price changes hinges on the sign of the monetary policy shock, the level of monetary policy uncertainty as well as a recession dummy. Uncertainty associated with negative monetary policy shocks leads to a decrease in commodity prices and excess speculative activity. The results from estimating an asset pricing model suggest that monetary policy uncertainty appears not to be a priced risk factor in the cross-section of commodity price changes. © 2017 John Wiley & Sons, Ltd.","asset pricing model; commodity prices; Fama-Macbeth regression; futures basis; futures data; monetary policy uncertainty; positions of traders; speculators","","Article","Final","","Scopus","2-s2.0-85034230683"
"Agnello L.; Castro V.; Hammoudeh S.; Sousa R.M.","Agnello, Luca (56637054100); Castro, Vítor (7006824332); Hammoudeh, Shawkat (6602687914); Sousa, Ricardo M. (35270013700)","56637054100; 7006824332; 6602687914; 35270013700","Global factors, uncertainty, weather conditions and energy prices: On the drivers of the duration of commodity price cycle phases","2020","Energy Economics","90","","104862","","","47","10.1016/j.eneco.2020.104862","https://www.scopus.com/pages/publications/85088904579?origin=resultslist","We investigate the role of global factors in explaining the length of commodity price cycle phases, using a continuous-time Weibull duration model and data for a panel of 33 countries over the period 1980Q1–2015Q4. We find evidence of increasing (constant) positive duration dependence for commodity price booms and busts (normal time spells). Global macroeconomic conditions - in particular, inflation, economic policy uncertainty and monetary policy actions - significantly affect the duration of all commodity price cycle phases. Global environmental conditions also impact the duration of commodity price booms, with a rise in average temperature (rainfall) increasing (reducing) their lengths. A larger number of military conflicts around the globe is associated with shorter booms and busts. Finally, we find that higher oil prices are linked with longer booms and shorter busts. © 2020 Elsevier B.V.","Commodity price cycles; Continuous-time Weibull model; Global factors","Continuous time systems; Costs; Economics; Energy policy; Oil booms; Public policy; Commodity prices; Continuous-time; Duration dependence; Duration modeling; Economic policies; Environmental conditions; Military conflicts; Monetary policies; commodity price; crude oil; economic conditions; economic policy; environmental conditions; inflation; macroeconomics; monetary policy; price dynamics; weather; Crude oil price","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85088904579"
"Klotz P.; Lin T.C.; Hsu S.-H.","Klotz, Philipp (56400592600); Lin, Tsoyu Calvin (55467839200); Hsu, Shih-Hsun (57135929200)","56400592600; 55467839200; 57135929200","Global commodity prices, economic activity and monetary policy: The relevance of China","2014","Resources Policy","42","","","1","9","43","10.1016/j.resourpol.2014.08.001","https://www.scopus.com/pages/publications/84908403057?origin=resultslist","After decades of strong economic growth, industrialization and rising living standards, China has become a dominant player in commodity markets. This study attempts to shed light on the role of China in global commodity price dynamics.The empirical analysis applies (Toda and Yamamoto, 1995, J Econom, 66, 225-250) type Granger causality tests and Generalized Impulse Response Functions (GIRF) to examine causal linkages and short-run dynamics between global commodity prices, economic activity, and monetary policy of China from 1998 to 2012.Our results provide evidence that economic activity is Granger causing both energy and industrial metals prices. As for the GIRF analysis, our findings suggest that energy and industrial metals prices respond positively to an increase in the economic activity and that agricultural as well as energy commodity prices overshoot after a drop in the real interest rate of China. We further find evidence that industrial metals prices tend to be higher when China's exchange rate system is relaxed. © 2014 Elsevier Ltd.","China; Commodity price; Generalized impulse response function; Overshooting; Toda-Yamamoto","China; China; Commodity prices; Impulse response functions; Overshooting; Toda-Yamamoto; commodity price; economic activity; economic growth; empirical analysis; exchange rate; globalization; Granger causality test; monetary policy","Article","Final","","Scopus","2-s2.0-84908403057"
"Carrière-Swallow Y.; Koumtingué N.F.; Weber S.","Carrière-Swallow, Yan (54394984200); Koumtingué, Nelnan Fidèle (56509610400); Weber, Sebastian (57209138028)","54394984200; 56509610400; 57209138028","Inflation and Monetary Policy in a Low-Income and Fragile State: The Case of Guinea","2025","Journal of African Economies","34","1","","1","25","1","10.1093/jae/ejad024","https://www.scopus.com/pages/publications/85212325440?origin=resultslist","Inflation in low-income countries is often high and volatile, driven by external shocks. In addition, inflation in fragile states is affected by highly volatile domestic factors that complicate monetary policy's ability to deliver price stability. We estimate the drivers of inflation in Guinea since the early 2000s, a period in which the country suffered major shocks from pandemics, commodity price movements, and multiple military coups, and during which inflation averaged 12%. Results confirm that global commodity and transport prices account for a large share of the variation in inflation. The contribution of monetary policy shocks to inflation is moderate, reflecting its broadly neutral stance throughout most of the last two decades. However, monetary policy has occasionally made larger contributions to inflation, and recently helped contain price pressures from high commodity prices. The effectiveness of monetary policy reflects a strong relationship between monetary aggregates and the exchange rate.  © 2024 The Author(s). Published by Oxford University Press on behalf of the Centre for the Study of African Economies, all rights reserved.","fragile states; inflation; low-income countries; monetary policy","Guinea; commodity price; developing world; exchange rate; inflation; monetary policy; political conflict; price dynamics","Article","Final","","Scopus","2-s2.0-85212325440"
