"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mulungu K.; Manning D.T.; Bozzola M.","Mulungu, Kelvin (56582441000); Manning, Dale T. (56104034000); Bozzola, Martina (55980168300)","56582441000; 56104034000; 55980168300","Once bitten, twice shy? Direct and indirect effects of weather shocks on fertilizer and improved seeds use","2025","Food Policy","133","","102852","","","8","10.1016/j.foodpol.2025.102852","https://www.scopus.com/pages/publications/105000234348?origin=resultslist","Evidence suggests that negative weather shocks, such as droughts, can influence input use in agriculture by reducing available income and shaping farmers’ behavioral responses. Yet, the relative importance of these two pathways remains unclear. This study proposes a method to disentangle the direct (behavioral) and indirect (income) effects of a drought shock on the use of inorganic fertilizer and improved maize seed. We employed a two-way fixed-effects regression combined with causal mediation analysis and entropy balancing to account for income endogeneity on a rich farm-level data from 6058 smallholder households in Zambia in 2012 and 2015. Our results show that farmers who experienced a drought in the previous growing season are less likely to use inorganic fertilizer but more likely to use improved seeds. The indirect income effect accounts for approximately 10% of the total effect for both inputs, amplifying the direct effect for inorganic fertilizer while diminishing it for improved seeds. The contribution of the indirect effect increases with the severity of drought shocks, although the direct effect remains the dominant channel. We also provide suggestive evidence that changes in risk aversion drive behavioral responses, while access to credit mitigates the income effect. These results highlight how drought shocks influence the timing and type of technology adopted in agriculture. Understanding the relative importance of these direct and indirect effects offers critical insights for policies aimed at enhancing climate change adaptation and agricultural productivity in the developing world. © 2025 Elsevier Ltd","Agricultural input use; Climate change adaptation; Drought shocks; Risk aversion; Zambia","Zambia; adaptive management; climate change; drought; fertilizer; maize; risk assessment; seed; weather","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105000234348"
"Farooq U.; Hussain W.; Kheir A.M.S.; Ahmed M.; Ahmad S.","Farooq, Umar (60150500800); Hussain, Wajahat (60815280000); Kheir, Ahmed M.S. (57197744662); Ahmed, Mukhtar (36631583300); Ahmad, Shakeel (59253727900)","60150500800; 60815280000; 57197744662; 36631583300; 59253727900","Teff (Eragrostis tef): Water Resource Management and Climate Adaptation","2026","Climate Change and Neglected Underutilized Crops: Foundations, Cereals, and Emerging Legumes Volume 1","1","","","293","317","0","10.1007/978-3-032-21005-0_11","https://www.scopus.com/pages/publications/105048846421?origin=resultslist","Teff (Eragrostis tef) is now being considered as an excellent climate-resilient crop much better suited to drought-prone, low-input, and rainfed agroecosystems that are under increasing climatic variability. The impact of global warming, unpredictable precipitation, and escalating water shortages pose a risk to food systems that rely on cereals, especially smallholder farming. This necessitates combined approach should be undertaken for climate change adaptation and water management. The chapter purpose is to summarize the existing information about the physiological, agronomic, and technological adaptation of teff to water and climate stress with the focus on water resource management and resilience-farming strategies. The chapter uses a synthesis type approach, which incorporates experimental data, crop modelling (Food and Agriculture Organization Aqua Crop model, the Decision Support System for Agro technology Transfer and Agricultural Production Systems Simulator) and application of a remote sensing, and case studies of various agro ecological locations. Major points have been examined as the soil-plant-atmosphere interactions, phenological sensitivity, water-use efficiency, yield stability and digital decision-support tools. Field and case studies indicated that near optimum water supply and water management enhanced teff yield and water productivity. Trained farmers were able to gain productivity by a maximum of 22%. Seasonal coefficients of crop were 0.8–1.0 (initial), 0.95–1.1 (mid-season), and 0.4–0.5 (late season), and yield response factor (KY) was 1.04 which was very sensitive to water stress. The simulated FAO Aqua Crop model showed that the additional irrigation of up to 95 mm post-flowering enhanced the grain-water use efficiency but reduces the biomass-water use efficiency. The results show that the scheduling of irrigation and optimization of water management play important roles in improving the productivity and water use efficiency of teff. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Teff · Climate resilience · Water-use efficiency · Crop modeling","Crops; Ecology; Global warming; Grain (agricultural product); Information management; Irrigation; Plants (botany); Water conservation; Water management; Agro-ecosystems; Case-studies; Crop modeling; Decision supports; Eragrostis tef; Rainfed; Teff · climate resilience · water-use efficiency · crop modeling; Water resources management; Water use efficiency; Waters managements; Decision support systems","Book chapter","Final","","Scopus","2-s2.0-105048846421"
"Paramasivam S.; Seethapathy P.; Vivekanathapatmanaban G.","Paramasivam, Sivaraj (57463474900); Seethapathy, Parthasarathy (59703752000); Vivekanathapatmanaban, G. (59345505700)","57463474900; 59703752000; 59345505700","Farmers' mitigation and adaptation strategies against climate change impact on agriculture","2024","Disaster Risk, Resilient Agriculture and Livelihood: Methods and Applications","","","","17","34","0","10.4324/9781003275916-3","https://www.scopus.com/pages/publications/85205086403?origin=resultslist","[No abstract available]","","","Book chapter","Final","","Scopus","2-s2.0-85205086403"
"Sridevi V.; Kalaivanan D.; Kumar M.S.","Sridevi, V. (59312431600); Kalaivanan, D. (24067123900); Kumar, M. Senthil (59037077400)","59312431600; 24067123900; 59037077400","Organic farming practices for climate change mitigation and adaptation","2024","Advances in Organic Farming: Crop Production and Management","","","","65","80","0","","https://www.scopus.com/pages/publications/85203033926?origin=resultslist","Climate change is defined as the shift in climate patterns largely due to greenhouse gas emissions. The main sources of GHG emissions are natural systems and anthropogenic activities. Greenhouse gasses are released into the atmosphere warming the earth by contributing to the greenhouse effect and consequently climate change. Agriculture plays a double role as a source and sink of GHGs. The greenhouse gasses viz., carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) emitted from agriculture. The negative impacts of climate change are increasing temperature, weather variability, shifting of agroecosystem boundaries, and frequent extreme weather events. Agriculture is extremely vulnerable to climate change employing reducing crop yield and nutritional quality of crops and lowering livestock productivity which ultimately threatens food security. Climate change mitigation strategies reduce or prevent the greenhouse gas emission, whereas climate change adaptation strategies reduce the negative impact of climate change while exploiting beneficial opportunities. Both the mitigation and adaptation approaches are essential for addressing climate change. Organic farming relies on locally available inputs, crop rotations, and a biological system of nutrient, pest, and disease management and excludes synthetic agrochemicals and feed additives. Hence, organic farming is one of the solutions for climate change mitigation and adaptation. Organic agriculture mitigates climate change by means of reduced greenhouse gas emission, enhanced carbon storage by sequestration, and minimized energy consumption. Organic agriculture improves soil, preserves biodiversity, and creates stable agro-ecosystems which enable climate change adaptation. © 2025 Apple Academic Press, Inc. Co-published with CRC Press (Taylor & Francis). All rights reserved.","Adaptation; Agriculture emissions; Agroecosystems; Climate change; Mitigation; Organic agriculture; Organic farming","","Book chapter","Final","","Scopus","2-s2.0-85203033926"
"Stetter C.; Cronauer C.","Stetter, Christian (57522367800); Cronauer, Carla (59169610200)","57522367800; 59169610200","Climate and soil conditions shape farmers’ climate change adaptation preferences","2025","Agricultural Economics (United Kingdom)","56","2","","165","187","10","10.1111/agec.12870","https://www.scopus.com/pages/publications/86000372338?origin=resultslist","Climate change poses a significant threat to agriculture and challenges farmers’ adaptive capacity. Understanding how farmers evaluate and prioritize different climate change adaptation measures under consideration of their natural environment is crucial yet widely overlooked. This study determines the relative importance that farmers attach to different adaptation measures and explores the role of climatic and soil conditions in this context. It uses a best-worst scaling experiment with German arable farmers in combination with geospatial climate and soil information. Findings reveal a preference for incremental adaptation measures over more transformative ones. However, preferences varied considerably with average local temperature, precipitation, and soil quality. The finding that farmers’ adaptation preferences are highly diverse and context-specific calls for tailored policies. It is crucial for policymakers to have a thorough understanding of farmers’ adaptation preferences. Based on the results, the study discusses multiple actions that policymakers can take to incentivize farmers to favor more effective adaptation measures. © 2024 The Author(s). Agricultural Economics published by Wiley Periodicals LLC on behalf of International Association of Agricultural Economists.","agriculture; best-worst scaling; climate; climate change adaptation; land use; soil","adaptive management; climate change; climate conditions; experimental study; land use change; perception; precipitation (climatology); soil quality","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-86000372338"
"Toiba H.; Rahman M.S.; Nugroho T.W.; Priyanto M.W.; Noor A.Y.M.; Shaleh M.I.","Toiba, Hery (55919236300); Rahman, Moh Shadiqur (57220585431); Nugroho, Tri Wahyu (55919046900); Priyanto, Moh Wahyudi (57221852711); Noor, Arif Yustian Maulana (57718399200); Shaleh, Mohammad Ilyas (58540198900)","55919236300; 57220585431; 55919046900; 57221852711; 57718399200; 58540198900","Understanding the link between climate change adaptation and household food security among shrimp farmers in Indonesia","2024","Marine Policy","165","","106206","","","10","10.1016/j.marpol.2024.106206","https://www.scopus.com/pages/publications/85194087743?origin=resultslist","This study investigates the impact of climate change adaptation strategies on household food security in Indonesia based on a comprehensive analysis of data from 445 shrimp farmers. Employing the innovative Two Stage Predictor Substitution (2SPS) method, the research reveals key determinants influencing farmers' decisions to adopt adaptation measures. Factors such as mechanization, proximity to main roads, cultivated land area, participation in field schools, and individual perceptions of climate change significantly affect climate change adaptation. Importantly, the study uncovers a strong positive relationship between the level of adaptation implemented and household food security among shrimp farmers. This correlation means that the more intense the adaptation practices are, the better the household food security status will be. This study also demonstrates that the impact of climate change adaptation on food security is particularly pronounced among farmers with lower income levels and smaller cultivated land areas. This positive effect diminishes for households with higher income levels and larger land areas. These findings underscore the need to tailor adaptation strategies, particularly for small-scale farmers, and customize interventions to ensure food security in the face of climate change challenges. © 2024 Elsevier Ltd","2SPS; Adaptation; Aquaculture; Climate change; Food security","Indonesia; adaptive management; aquaculture; climate change; climate effect; food security; shrimp fishery","Article","Final","","Scopus","2-s2.0-85194087743"
"Doll C.A.; Pannell D.J.; Burton M.P.","Doll, Claire A. (57213091761); Pannell, David J. (7004023875); Burton, Michael P. (7202920179)","57213091761; 7004023875; 7202920179","Economic evaluation of alternative urban park designs that conserve irrigation water","2024","Australian Journal of Agricultural and Resource Economics","68","4","","713","730","4","10.1111/1467-8489.12582","https://www.scopus.com/pages/publications/85200232695?origin=resultslist","Increasing the area of drought-tolerant native vegetation in urban parks is a potential strategy to adapt to growing water scarcity under climate change. With a case study in Perth, Australia, we undertake benefit–cost analyses to understand the potential impacts of modifying urban park landscape designs away from conventions dominated by watered grass towards alternatives with more native vegetation. Considering the costs of establishing and maintaining alternative designs alone, we find that local governments can save money by reducing the extent of watered grass cover in parks. Incorporating nonmarket benefits into the analyses provides evidence of positive community net benefits from making changes to conventional park designs. We show that an alternative park design featuring a mix of 60% native vegetation and 40% watered grass delivers the highest net benefits for both new park development and retrofits to existing parks. These findings suggest it is time to rethink urban park design norms in Australia to better align landscaping choices with community preferences under a changing climate. © 2024 The Author(s). The Australian Journal of Agricultural and Resource Economics published by John Wiley & Sons Australia, Ltd on behalf of Australasian Agricultural and Resource Economics Society Inc.","benefit–cost analysis; climate change adaptation; urban amenity; water conservation","Australia; Perth [Western Australia]; Western Australia; adaptive management; amenity; climate change; cost-benefit analysis; irrigation; landscape planning; landscape structure; park design; resource scarcity; strategic approach; urban area; urban design; urban planning; water availability; water management","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85200232695"
"Long J.; Zhuo W.","Long, Jiao (57226283372); Zhuo, Wenjun (57226282656)","57226283372; 57226282656","From adaptation to action: climate change behaviour and farm-level investment in Rural China","2026","Applied Economics Letters","","","","","","0","10.1080/13504851.2026.2715759","https://www.scopus.com/pages/publications/105050208341?origin=resultslist","Understanding how climate change adaptation behaviours shape farmers’ investment decisions carries both theoretical and practical significance for advancing resilient agricultural development. Drawing on survey data from 1064 farm households, this study examines the effects of climate change behaviour on productive investment and the underlying mechanisms. Three findings emerge: (1) adaptation behaviour significantly promotes farm-level investment; (2) information acquisition and efficacy perception are two critical mediating pathways; (3) county-level heterogeneity reflects differences in institutional capacity and resource constraints across counties. The negative, insignificant subsidy coefficient reflects offsetting incentive and crowding-out effects across subsidy intensity levels. © 2026 Informa UK Limited, trading as Taylor & Francis Group.","Climate change behaviour; efficacy perception; information acquisition; productive investment","","Article","Article in press","","Scopus","2-s2.0-105050208341"
"Gammage S.; Rode J.; Palacio F.L.","Gammage, Sarah (6506635686); Rode, Julian (23987889100); Palacio, Felipe Lesmes (58404683300)","6506635686; 23987889100; 58404683300","Expanding pathways for green finance to support regenerative agriculture in Latin America","2023","Sustainable Finance and the Global Health Crisis","","","","214","240","1","10.4324/9781003284703-13","https://www.scopus.com/pages/publications/85163537870?origin=resultslist","This chapter explores the current state of green finance initiatives and emerging financing instruments for regenerative agriculture in Latin America. We conduct a review of existing journal articles, online platforms, and grey literature, and interview ten key informants from different organizations who are actively engaged with conservation agriculture in the region. We find that a panoply of credit facilities, emerging voluntary and compliance carbon markets, payment for environmental services mechanisms, debt conversions, and green climate and biodiversity investment vehicles are coming on stream for including environmental objectives in the agriculture and land-use sector. We explore the challenges and opportunities for the success of these financing vehicles, illustrating their potential for financing regenerative agriculture and surfacing the gaps in existing funding mechanisms. Finally, we examine the potential for regenerative agriculture to be integrated into Covid recovery packages, to mitigate and adapt to climate change as part of a green recovery in Latin America. © 2024 selection and editorial matter, Pasquale Marcello Falcone and Edgardo Sica; individual chapters, the contributors.","","","Book chapter","Final","","Scopus","2-s2.0-85163537870"
"Otieno J.; Muchapondwa E.; Ntuli H.","Otieno, Jackson (57219846047); Muchapondwa, Edwin (26027571900); Ntuli, Herbert (57191905293)","57219846047; 26027571900; 57191905293","The odds of South African agriculture using wildlife ranching to adapt to climate change","2023","African Journal of Agricultural and Resource Economics","18","1","","75","89","3","10.53936/AFJARE.2023.18(1).4","https://www.scopus.com/pages/publications/85165065528?origin=resultslist","In this paper, we explore the role of wildlife in climate change adaptation, especially in areas used predominantly for livestock production in South Africa. Using a sample of 3 449 wildlife and livestock ranches, we estimate a multinomial choice model of various ranching options in these areas. The results indicate that mixed wildlife-livestock ranches are less vulnerable to climate change when compared to ranches with only wildlife or only livestock. However, given the ranching options, the revenues of ranches with only wildlife are higher compared to other ranches. The results further show that an increase in temperature will influence more livestock farmers, especially those farming with cattle, to change their land use from livestock to wildlife ranching. Using climate models, we establish that livestock farmers in the Eastern Cape province of South Africa will be affected most by climate change and will subsequently change their land use. © 2023, African Journal of Agricultural and Resource Economics. All Rights Reserved.","adaptation; agriculture; climate change; wildlife ranching","","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85165065528"
