dropped,beta,p,shift
AFG,0.16009776652870752,4.8375193981264886e-05,0.018978160898389662
AGO,0.1790759274270972,0.00014921473868145796,0.0
ALB,0.17686207924967406,0.00015290776104848192,0.0022138481774231222
ARE,0.1790759274270972,0.00014921473868145796,0.0
ARM,0.18203639019338672,9.918052554813706e-05,0.002960462766289529
AUS,0.17755117147220012,0.00017842667997269857,0.0015247559548970668
AUT,0.1823251613204433,0.00011562210071636159,0.0032492338933461096
AZE,0.1737094452650383,0.00015444301398992444,0.0053664821620589
BDI,0.1790759274270972,0.00014921473868145796,0.0
BEL,0.1790759274270972,0.00014921473868145796,0.0
BEN,0.1790759274270972,0.00014921473868145796,0.0
BFA,0.17514455948291988,0.00030476806845114446,0.003931367944177311
BGD,0.18425178522807878,7.589624358694813e-05,0.0051758578009815925
BGR,0.17702275055817762,0.00014155399133519708,0.002053176868919565
BIH,0.1790759274270972,0.00014921473868145796,0.0
BLR,0.18819901780460974,8.347615384485252e-05,0.00912309037751255
BLZ,0.17586079489742934,0.00031039660967158156,0.003215132529667847
BOL,0.1834952870661701,8.941893231062537e-05,0.004419359639072917
BRA,0.18695515547150948,7.496849182220267e-05,0.007879228044412295
BRN,0.1790759274270972,0.00014921473868145796,0.0
BTN,0.18373502128326977,0.00011109005168807862,0.00465909385617258
BWA,0.17837191605440403,0.00017974484314486894,0.0007040113726931585
CAF,0.1790759274270972,0.00014921473868145796,0.0
CAN,0.1818708669223713,0.00015855923061569577,0.0027949394952741236
CHE,0.18226873387556225,0.0001325159589364855,0.003192806448465063
CHL,0.1790759274270972,0.00014921473868145796,0.0
CHN,0.18374086733308317,0.00011042253141213543,0.0046649399059859875
CIV,0.17843846667356988,0.00015161171646416172,0.0006374607535273025
CMR,0.1790759274270972,0.00014921473868145796,0.0
COD,0.1790759274270972,0.00014921473868145796,0.0
COG,0.18282502522887123,0.00015803588034102312,0.003749097801774043
COL,0.1739467062485877,0.00028777774512667165,0.005129221178509474
COM,0.1790759274270972,0.00014921473868145796,0.0
