spec,lin,lin_se,lin_p,quad,quad_se,quad_p,n
(1)  Baseline,0.03492899877132717,0.025815681057300848,0.17605089945887809,0.05688432910304709,0.01604587547662056,0.0003924552571721307,18650
(2)  DK L=24,0.03492899877132717,0.023748088011964406,0.14134167072322867,0.05688432910304709,0.019650537511682106,0.0037940306212815855,18650
(3)  Cluster by country,0.03492899877132717,0.029854859307914063,0.24201696418459906,0.05688432910304709,0.01401998969148281,4.962776583616879e-05,18650
(4)  Two-way cluster,0.03492899877132717,0.03392928605241638,0.3032614080771263,0.05688432910304709,0.015661405948298558,0.00028108680335137137,18650
(5)  Country FE only,0.027727021868451388,0.030707574453240537,0.36655904317964216,0.050647796325991076,0.017952474865769768,0.004784208577586435,18650
(6)  6 lags,0.0470353736149115,0.025401533452924733,0.06407256735982947,0.044397228156629595,0.014148524036204842,0.0017013934601870506,22954
(7)  3 lags,0.04614066734475062,0.025775759326485324,0.07344107588602578,0.03710486166013156,0.012356862887139712,0.002675313739995744,26589
(8)  Excl. 2007-09,0.017762391473993656,0.03409847966339091,0.6024263545534132,0.027392423352336544,0.015804355214609593,0.08305658694819185,15987
(9)  Excl. 2020-22,0.034561714443466694,0.027064524689969432,0.20159811978760533,0.07249631504510475,0.0170261894516978,2.0632895265881857e-05,15930
(10) Excl. both windows,0.012276637425494487,0.03949149963883167,0.7559010894122768,0.042858159112137,0.01786682109592118,0.016450835453757806,13267
(11) 2003-2013 only,0.07094129871920749,0.04002639383640045,0.07633432262263629,0.08922246114629447,0.024777731585476616,0.00031710141741747577,8050
(12) 2014-2025 only,0.053881335518087964,0.027129869400899558,0.047027533351322814,0.018014825083315734,0.011590089935897932,0.12010570885382599,10042
(13) Excl. GDPpc>20k,0.0447116156636946,0.028410874088938335,0.11554523661400151,0.0682560258078132,0.016862949960907484,5.1725172498517935e-05,14819
(14) Excl. OECD-Europe,0.03936478848352454,0.025778286298668882,0.1267480347660208,0.06009239263702956,0.015287372048684645,8.464546824038521e-05,14293
(15) Smallest area tercile out,0.0046535245991327,0.03044860530375117,0.8785306749677051,0.05171885559987264,0.022694581333968077,0.022672554048925875,15359
