h,food,food_se,food_p,rel,rel_se,rel_p,head,head_se,head_p,n,nc
-12,-0.02627547716111662,0.06449116339150018,0.683693990647571,-0.005040746375864635,0.034734617158546637,0.8846147926917032,-0.007604360326671417,0.03646460272946946,0.8348066669106902,18404,96
-9,-0.019745582943135977,0.05731916293565286,0.7304816915533598,0.012170827502270606,0.030553442651023693,0.6903754986012203,-0.03065768250831272,0.034192530596674674,0.3699221011722913,18553,96
-6,-0.021304318968641805,0.048514779893532534,0.6605669889958061,-0.010370791278514542,0.02349015292108897,0.6588544889867278,-0.008654897303904707,0.028954657706650958,0.7650071207151572,18683,96
-3,-0.014492759627038505,0.02042474643180854,0.47797166994552187,-0.003000920670637347,0.01222703346427454,0.8061209794287325,-0.011573764804549663,0.010225121396354644,0.257678539027959,18825,96
0,0.03423077795256996,0.014013567176042812,0.0145783183375785,0.018092000813180704,0.008620838392950698,0.0358490104631799,0.01704475176901805,0.00711526557356072,0.016596867412318916,18985,96
3,0.1430039461058478,0.03208147979180312,8.291199816268247e-06,0.07797970629979584,0.017201323313822407,5.805410334680516e-06,0.0651397429306975,0.019606545696136506,0.000892636972103622,18820,96
6,0.1790759274270972,0.04722002320575619,0.00014921473868145796,0.10677493540698552,0.027467524320753396,0.00010135893928375772,0.072353258938372,0.02713382409775045,0.007663790083994204,18650,96
9,0.15921260511354893,0.05466890137047451,0.0035877023310111333,0.09203490536821284,0.0305011529783285,0.0025493311332536184,0.06609336872189103,0.03435371269327979,0.054366167236618246,18473,96
12,0.1363154182169028,0.05775956941144111,0.018272517765682394,0.06637256593802747,0.03204612198936922,0.03834407973409992,0.06945869510891033,0.038496294951812796,0.07118498118883387,18291,96
15,0.10308820984101114,0.06093286592468681,0.09067789322592312,0.05187590756066991,0.032931729506704026,0.11519734428831208,0.052512538963609856,0.04046477757801526,0.19437857507748268,18080,96
18,0.05440243084014359,0.07276684214479218,0.4546853819451875,0.02043817582583092,0.03612762604340098,0.5715830979628913,0.03440477118089843,0.05162797626071234,0.5051568512195281,17873,96
21,0.03252148912692105,0.08480659119424144,0.701365141967045,-0.008226209427471771,0.04293928347330684,0.8480730070188527,0.03875338384616232,0.06325087960376795,0.5400792194356949,17667,96
24,-0.015232592389786132,0.08961257007469291,0.865023691370352,-0.035171617226336965,0.04898029485897463,0.47270988589858565,0.019393197024824234,0.06186076416331054,0.753902693820349,17472,96
