authors,title,year,journal,vol,issue,p1,p2,doi,cited
Raddatz C.,Liquidity needs and vulnerability to financial underdevelopment,2006,Journal of Financial Economics,80,3,677.0,722.0,10.1016/j.jfineco.2005.03.012,249
Bekaert G.; Harvey C.R.; Lundblad C.,Growth volatility and financial liberalization,2006,Journal of International Money and Finance,25,3,370.0,403.0,10.1016/j.jimonfin.2006.01.003,256
Kurukulasuriya P.; Mendelsohn R.; Hassan R.; Benhin J.; Deressa T.; Diop M.; Eid H.M.; Fosu K.Y.; Gbetibouo G.; Jain S.; Mahamadou A.; Mano R.; Kabubo-Mariara J.; El-Marsafawy S.; Molua E.; Ouda S.; Ouedraogo M.; Séne I.; Maddison D.; Seo S.N.; Dinar A.,Will African agriculture survive climate change?,2006,World Bank Economic Review,20,3,367,388,10.1093/wber/lhl004,358
Aghion P.; Bacchetta P.; Rancière R.; Rogoff K.,Exchange rate volatility and productivity growth: The role of financial development,2009,Journal of Monetary Economics,56,4,494.0,513.0,10.1016/j.jmoneco.2009.03.015,471
Berck P.; Leibtag E.; Solis A.; Villas-Boas S.,Patterns of pass-through of commodity price shocks to retail prices,2009,American Journal of Agricultural Economics,91.0,5,1456,1461,10.1111/j.1467-8276.2009.01364.x,17
Aghion P.; Angeletos G.-M.; Banerjee A.; Manova K.,Volatility and growth: Credit constraints and the composition of investment,2010,Journal of Monetary Economics,57,3,246.0,265.0,10.1016/j.jmoneco.2010.02.005,384
Di Falco S.; Veronesi M.; Yesuf M.,Does adaptation to climate change provide food security? A micro-perspective from Ethiopia,2011,American Journal of Agricultural Economics,93,3,825,842,10.1093/ajae/aar006,1122
Jongwanich J.; Park D.,Inflation in developing Asia: Pass-through from global food and oil price shocks,2011,Asian-Pacific Economic Literature,25.0,1,79,92,10.1111/j.1467-8411.2011.01275.x,46
Carrière-Swallow Y.; Céspedes L.F.,The impact of uncertainty shocks in emerging economies,2013,Journal of International Economics,90,2,316.0,325.0,10.1016/j.jinteco.2013.03.003,352
Ubilava D.; Holt M.,El Niño southern oscillation and its effects on world vegetable oil prices: Assessing asymmetries using smooth transition models,2013,Australian Journal of Agricultural and Resource Economics,57.0,2,273.0,297.0,10.1111/j.1467-8489.2012.00616.x,37
Bandara J.S.; Cai Y.,"The impact of climate change on food crop productivity, food prices and food security in South Asia",2014,Economic Analysis and Policy,44,4,451,465,10.1016/j.eap.2014.09.005,307
Arcand J.L.; Berkes E.; Panizza U.,Too much finance?,2015,Journal of Economic Growth,20,2,105.0,148.0,10.1007/s10887-015-9115-2,879
de Winne J.; Peersman G.,Macroeconomic effects of disruptions in global food commodity markets: Evidence for the United States,2016,Brookings Papers on Economic Activity,2016.0,FALL,183,286,10.1353/eca.2016.0028,28
Kawasaki K.; Uchida S.,Quality Matters More Than Quantity: Asymmetric Temperature Effects on Crop Yield and Quality Grade,2016,American Journal of Agricultural Economics,98.0,4,1195,1209.0,10.1093/ajae/aaw036,84
Burke M.; Emerick K.,Adaptation to climate change: Evidence from US agriculture,2016,American Economic Journal: Economic Policy,8,3,106,140,10.1257/pol.20130025,669
Cai R.; Feng S.; Oppenheimer M.; Pytlikova M.,Climate variability and international migration: The importance of the agricultural linkage,2016,Journal of Environmental Economics and Management,79.0,nan,135,151.0,10.1016/j.jeem.2016.06.005,233
Holtemöller O.; Mallick S.,Global food prices and monetary policy in an emerging market economy: The case of India,2016,Journal of Asian Economics,46.0,nan,56,70,10.1016/j.asieco.2016.08.005,70
Dallmann I.; Millock K.,Climate variability and inter-state migration in India,2017,CESifo Economic Studies,63.0,4,560.0,594.0,10.1093/cesifo/ifx014,94
Hill R.V.; Porter C.,Vulnerability to Drought and Food Price Shocks: Evidence from Ethiopia,2017,World Development,96,nan,65,77,10.1016/j.worlddev.2017.02.025,67
Chen X.; Chen S.,China feels the heat: negative impacts of high temperatures on China's rice sector,2018,Australian Journal of Agricultural and Resource Economics,62.0,4,576,588.0,10.1111/1467-8489.12267,27
Letta M.; Montalbano P.; Tol R.S.J.,"Temperature shocks, short-term growth and poverty thresholds: Evidence from rural Tanzania",2018,World Development,112,nan,13,32,10.1016/j.worlddev.2018.07.013,69
Sekine A.; Tsuruga T.,Effects of commodity price shocks on inflation: A cross-country analysis,2018,Oxford Economic Papers,70.0,4,1108,1135,10.1093/oep/gpy015,33
Hendricks N.P.,Potential benefits from innovations to reduce heat and water stress in agriculture,2018,Journal of the Association of Environmental and Resource Economists,5,3,545,576,10.1086/697305,32
Heinen A.; Khadan J.; Strobl E.,The price impact of extreme weather in developing countries,2019,Economic Journal,129,619,1327,1342,10.1111/ecoj.12581,79
Abbas S.K.; Lan H.,Commodity price pass-through and inflation regimes,2020,Energy Economics,92.0,nan,nan,nan,10.1016/j.eneco.2020.104977,55
Chen S.; Gong B.,Response and adaptation of agriculture to climate change: Evidence from China,2021,Journal of Development Economics,148,nan,nan,nan,10.1016/j.jdeveco.2020.102557,399
Lundberg C.; Skolrud T.; Adrangi B.; Chatrath A.,Oil Price Pass through to Agricultural Commodities†,2021,American Journal of Agricultural Economics,103.0,2,721,742,10.1002/ajae.12088,33
Ljungqvist F.C.; Thejll P.; Christiansen B.; Seim A.; Hartl C.; Esper J.,The significance of climate variability on early modern European grain prices,2022,Cliometrica,16.0,1,29.0,77.0,10.1007/s11698-021-00224-7,36
Linsenmeier M.,Temperature variability and long-run economic development,2023,Journal of Environmental Economics and Management,121.0,nan,nan,nan,10.1016/j.jeem.2023.102840,39
